hagrid,imr,mrdt,tmax,size_sample,quality,origin,biblioid,phenotype
1,NULL,NULL,NULL,tiny,low,unknown,NULL,One animal living around hydrocarbon seeps has been estimated to be between 170 and 250 years old [0652]. Animals of this genus are candidates for exhibiting negligible senescence.
2,NULL,NULL,NULL,tiny,low,unknown,NULL,Arthropods show an immense diversity in terms of ageing phenotypes. Some species are long-lived with indeterminate growth and no signs of ageing [0002]. The best of such examples is probably the American lobster (<i>Homarus americanus</i>).
3,NULL,NULL,0.19,medium,acceptable,unknown,NULL,NULL
4,NULL,NULL,NULL,tiny,low,unknown,NULL,"Although insects tend to be short-lived, there are multiple manifestations of ageing among different species of insects. These include examples of mechanical senescence, such as aphagy [0002]. Some insects may live more than 10 years, such as the queens of some social insects whose longevity is determined by the exhaustion of the sperm stocks [0595]."
5,0.05,0.04,0.3,large,acceptable,captivity,NULL,"The fruit fly is mostly composed of post-mitotic cells, has a very short lifespan, and shows gradual ageing. Like in other species, temperature influences the life history of the animal. Caloric restriction has been shown to extend lifespan in fruit flies. Little is known about causes of death in old fruit flies but cardiac ageing has been reported [0981].+p Several genes have been identified whose manipulation extends the lifespan of these animals [0068]. Given the various genetic and environmental manipulations of lifespan in this species, the maximum longevity is a conservative estimate."
6,NULL,NULL,8,medium,acceptable,unknown,812,"As in other social insects, workers and queens have distinct lifespans in the honey bee. Queens have been reported to live up to 8 years. Workers have a short lifespan due to foraging but can live 0.2-0.4 years if prevented from foraging. In the winter, workers can develop into a stress-resistant form called the ""diunitus"" and live up to 0.9 years [0812]. As workers age there is a decline in cellular degradation activity [1166]."
7,NULL,NULL,NULL,tiny,low,unknown,NULL,"Ant castes, like workers and queens, are not only morphologically different but have distinct ageing phenotypes. Even though both are largely postmitotic, queens can live over 15 years, 100 times more than the workers. There are exceptional cases of worker ants living over 5 years, though. Workers show a clear acceleration of mortality whereas queens die very rapidly after their sperm stocks are exhausted, often assassinated by the workers. Therefore, queens may well feature negligible senescence [0002]. One <i>Camponotus fellah</i> queen set the record for ant longevity, living in an artificial nest for 26 years [1297]."
8,NULL,NULL,0.5,medium,acceptable,captivity,1293,"Queens live about six months. One study reported that compared to flies, gene expression in ant queens changes with age mostly in the opposite direction. Reproductive genes were upregulated and genes associated with metabolic processes and muscle contraction were downregulated in old ant queens relative to young ant queens [1293]."
9,NULL,NULL,28,medium,acceptable,unknown,411,"Like in other species of ants, there are major differences in longevity between queens and workers. Workers normally live up to 1-2 years while queens have can live up to 28 years [0411]."
10,NULL,NULL,0.4,medium,questionable,captivity,1156,Workers live for up to 140 days [1156].
11,NULL,NULL,0.5,medium,acceptable,wild,811,"In the wild, this African butterfly exhibits seasonal polyphenism as a result of alternating dry and wet seasons. During the dry season they remain mostly inactive [0809]. In the lab, these organisms may live around 0.3 years and reproduce when about 2 weeks of age [0418]. In the wild, one study in Uganda found that males can live up to 0.5 years [0811], but possibly they can live longer in other locations."
12,NULL,NULL,100,medium,acceptable,wild,2,"Lobsters grow throughout their lifespan. Molting appears to prevent the accumulation of wear and tear. The biggest lobsters ever caught have been estimated to be at least 50-100 years old, and may be even older. Egg production appears to increase with age. Therefore, this could be a species with negligible senescence [0002], though further studies are necessary to confirm it."
13,NULL,NULL,NULL,tiny,low,unknown,NULL,"Fishes age at a great variety of paces. Some species are semelparous, others show gradual to slow senescence, while others appear not to age at all. Many age-related changes and pathologies in fishes resemble those seen in mammals [0524]. Like for other fishes, age estimation in ray-finned fishes is often based on indirect methods and most longevity data comes from animals in the wild [0022]. As such, longevity records should be treated as guesses, not accurate values. Likewise, adult body weight is often inferred from maximum weight and hence it also should be used as an approximate value."
14,NULL,NULL,NULL,tiny,low,unknown,NULL,"Ageing in amphibians has only been studied in a few species. Many longevity records come from wild animals and even longevity in captivity may be underestimated. Nonetheless, amphibians appear to be longer lived than mammals of the same size. Development and longevity in amphibians appears to be much more plastic and dependent on environmental conditions than in mammals. Species from northern or mountain regions tend to live longer and, often, mature later [0525]. Hibernation in northern climates could also be a factor. Gradual senescence similar to that seen in mammals has been documented but some amphibian species may feature negligible senescence including neurogenesis and oogenesis in adulthood. Teeth in amphibians are polyphyodont [0526]."
15,NULL,NULL,20,medium,acceptable,captivity,485,"In the wild, these animals may live up to 11 years [0525]."
16,NULL,NULL,15.8,large,acceptable,captivity,451,"In the wild, these animals may live up to 13 years [0525]."
17,NULL,NULL,29,medium,acceptable,captivity,NULL,Field studies failed to find significant signs of ageing [0024]. In captivity these animals may live up to 29 years.
18,NULL,NULL,36,medium,acceptable,captivity,525,"In the wild, these animals do not commonly live more than one year and the maximum reported lifespan in the wild is 10 years. One captive individual lived to the age of 36 before it was killed by accident."
19,NULL,NULL,11.5,medium,acceptable,captivity,451,"Development depends on ambient temperature. They may lay up to 16,500 eggs [0437]."
20,NULL,NULL,15,medium,acceptable,wild,503,"In the wild, these animals live at least 15 years [0503]."
21,NULL,NULL,10.7,small,questionable,captivity,485,Longevity may be considerably underestimated.
22,NULL,NULL,12.4,small,acceptable,captivity,451,One specimen of the <i>insidior</i> subspecies was still alive after 12.4 years in captivity [0451].
23,NULL,NULL,13.3,small,acceptable,captivity,451,NULL
24,NULL,NULL,11.3,medium,acceptable,captivity,485,NULL
25,NULL,NULL,15.3,small,acceptable,captivity,451,NULL
26,NULL,NULL,10,medium,acceptable,captivity,451,NULL
27,NULL,NULL,10,large,acceptable,captivity,451,NULL
28,NULL,NULL,40,medium,acceptable,captivity,451,"In the wild, these animals live up to 12 years [0525]."
29,NULL,NULL,15.4,medium,acceptable,captivity,485,NULL
30,NULL,NULL,5,medium,questionable,captivity,990,"Not much is known about the longevity of the species, but they have been known to live more than 5 years in captivity. This species is extinct in the wild."
31,NULL,NULL,10.7,small,acceptable,captivity,451,NULL
32,NULL,NULL,20,small,acceptable,captivity,485,NULL
33,NULL,NULL,11.9,large,acceptable,captivity,451,NULL
34,NULL,NULL,28.7,tiny,acceptable,captivity,451,NULL
35,NULL,NULL,NULL,small,low,unknown,NULL,"In the wild, these animals may live up to 8 years [0525]. Longevity in captivity has not exceeded 5 years, so their maximum lifespan is likely underestimated."
36,NULL,NULL,24.8,large,acceptable,captivity,485,In non-tropical tempered zones this toads may take 2 years to reach reproductive maturity [0749].
37,NULL,NULL,15.1,small,acceptable,captivity,451,NULL
38,NULL,NULL,12.8,small,acceptable,captivity,451,NULL
39,NULL,NULL,15.9,tiny,acceptable,captivity,451,NULL
40,NULL,NULL,10.3,small,acceptable,captivity,485,Adult females weight on average 130g and males about 60g [0749].
41,NULL,NULL,14.7,medium,acceptable,captivity,451,NULL
42,NULL,NULL,20.5,large,acceptable,captivity,448,Record longevity of this species belongs to a 20.5-years-of-age specimen at Woodland Park Zoo in Seattle [0448].
43,NULL,NULL,11.5,large,acceptable,captivity,451,NULL
44,NULL,NULL,NULL,large,low,unknown,NULL,"These animals have been recorded to live up to 7.6 years in captivity [0451]. Most likely, however, their maximum lifespan is considerably greater. Anecdotal claims of animals living 12-15 years in captivity are plausible. Further studies are needed."
45,NULL,NULL,9.1,medium,acceptable,captivity,451,NULL
46,NULL,NULL,7.5,medium,acceptable,captivity,451,NULL
47,NULL,NULL,NULL,medium,low,unknown,NULL,"Not much is known about the longevity of this species, though they have been estimated to live up to 20 years, which is possible."
48,NULL,NULL,10.9,small,acceptable,captivity,451,NULL
49,NULL,NULL,NULL,small,low,unknown,NULL,"These are small frogs, short-lived in the wild with very few animals living more than one year; in one study, only 1/21 frogs survived two winters [1096]. Studies in captivity are lacking, however."
50,NULL,NULL,4.9,small,questionable,captivity,485,"In the wild, these animals are short-lived. Even so, their maximum longevity may be underestimated as it is based on only a few captive animals."
51,NULL,NULL,NULL,large,low,unknown,NULL,"These animals have been known to live up to 4.1 years in captivity [0485]. Most likely, however, their lifespan is considerably greater. Anecdotal claims of animals living over 8 years in captivity are plausible. Further studies are needed."
52,NULL,NULL,5.5,tiny,acceptable,captivity,451,NULL
53,NULL,NULL,12.8,tiny,acceptable,captivity,451,NULL
54,NULL,NULL,22,small,acceptable,captivity,451,NULL
