id_biblio,pubmed,title,url,author,publisher,year,journal,volume,pages,editor,book_title,review
1,NULL,"Longevity Records: Life Spans of Mammals, Birds, Amphibians, Reptiles, and Fish",http://www.demogr.mpg.de/longevityrecords,Carey and Judge,NULL,2000,NULL,NULL,NULL,NULL,NULL,NULL
2,NULL,"Longevity, Senescence, and the Genome",NULL,Caleb Finch,University of Chicago Press: Chicago,1990,NULL,NULL,NULL,NULL,NULL,NULL
3,12213556,Life spans and senescent phenotypes in two strains of Zebrafish (Danio rerio),NULL,Gerhard et al.,NULL,2002,Exp Gerontol,37,1055-1068,NULL,NULL,0
4,12882320,The chronological life span of Saccharomyces cerevisiae,NULL,Fabrizio and Longo,NULL,2003,Aging Cell,2,73-81,NULL,NULL,1
5,14602989,The naked mole rat--a new record for the oldest living rodent,NULL,Buffenstein and Jarvis,NULL,2002,Sci Aging Knowledge Environ,2002,pe7,NULL,NULL,0
6,12855285,Testing hypotheses of aging in long-lived painted turtles (Chrysemys picta),NULL,Congdon et al.,NULL,2003,Exp Gerontol,38,765-772,NULL,NULL,0
7,11295515,"Hypotheses of aging in a long-lived vertebrate, Blanding's turtle (Emydoidea blandingii)",NULL,Congdon et al.,NULL,2001,Exp Gerontol,36,813-827,NULL,NULL,0
8,11322804,Mortality rates among wild chimpanzees,NULL,Hill et al.,NULL,2001,J Hum Evol,40,437-450,NULL,NULL,0
9,12082185,The aging baboon: comparative demography in a non-human primate,NULL,Bronikowski et al.,NULL,2002,Proc Natl Acad Sci U S A,99,9591-9595,NULL,NULL,0
10,13873222,"The aging of Xenopus laevis, a South African frog",NULL,Brocas and Verzar,NULL,1961,Gerontologia,5,228-240,NULL,NULL,0
11,15536017,Life extension in the dwarf mouse,NULL,Bartke and Brown-Borg,NULL,2004,Curr Top Dev Biol,63,189-225,NULL,NULL,1
12,11087900,"The budding yeast, Saccharomyces cerevisiae, as a model for aging research: a critical review",NULL,Gershon and Gershon,NULL,2000,Mech Ageing Dev,120,Jan-22,NULL,NULL,1
13,NULL,Ageing: The Biology of Senescence,NULL,Alex Comfort,"Holt, Rinehart and Winston: New York",1979,NULL,NULL,NULL,NULL,NULL,NULL
14,NULL,How and Why We Age,NULL,Leonard Hayflick,Ballantine Books: New York,1994,NULL,NULL,NULL,NULL,NULL,NULL
15,11348655,New clues to old yeast,NULL,Jazwinski,NULL,2001,Mech Ageing Dev,122,865-882,NULL,NULL,1
16,12014846,A personal retrospective on the genetics of aging,NULL,Johnson,NULL,2002,Biogerontology,3,07-Dec,NULL,NULL,0
17,9742964,Telomerase activity in immortal fish,NULL,Klapper et al.,NULL,1998,FEBS Lett,434,409-412,NULL,NULL,0
18,10462163,Kleemeier award lecture: are there genes for aging?,NULL,Miller,NULL,1999,J Gerontol A Biol Sci Med Sci,54,B297-B307,NULL,NULL,0
19,7926857,Ageing in reptiles,NULL,Patnaik,NULL,1994,Gerontology,40,200-220,NULL,NULL,1
20,10989120,Transgenic methods for increasing Drosophila life span,NULL,Tower,NULL,2000,Mech Ageing Dev,118,Jan-14,NULL,NULL,1
21,NULL,Age and growth estimates of bowhead whales (Balaena mysticetus) via aspartic acid racemization,NULL,George et al.,NULL,1999,Can J Zool,77,571-580,NULL,NULL,NULL
22,11295512,Age determination and validation studies of marine fishes: do deep- dwellers live longer?,NULL,Cailliet et al.,NULL,2001,Exp Gerontol,36,739-764,NULL,NULL,0
23,NULL,Cheating Time,NULL,Roger Gosden,MacMillan: London,1996,NULL,NULL,NULL,NULL,NULL,NULL
24,NULL,"Studies on the growth and longevity of the yellow-bellied toad, Bombina variegata, in natural environments",NULL,Plytycz and Bigaj,NULL,1993,Amphibia-Reptilia,14,35-44,NULL,NULL,NULL
25,8568500,"Age-dependent changes in thymuses in the European common frog, Rana temporaria",NULL,Plytycz et al.,NULL,1995,J Exp Zool,273,451-460,NULL,NULL,0
26,11295516,Escaping senescence: demographic data from the three-toed box turtle (Terrapene carolina triunguis),NULL,Miller,NULL,2001,Exp Gerontol,36,829-832,NULL,NULL,0
27,9631666,Age-related changes in the tiger salamander retina,NULL,Townes-Anderson et al.,NULL,1998,Exp Eye Res,66,653-667,NULL,NULL,0
28,11295519,Quail and other short-lived birds,NULL,Ottinger,NULL,2001,Exp Gerontol,36,859-868,NULL,NULL,1
29,NULL,Jeanne Calment: From Van Goghs time to ours: 122 extraordinary years,NULL,Michel Allard,W.H. Freeman: New York,1998,NULL,NULL,NULL,NULL,NULL,NULL
30,9599158,Biodemographic trajectories of longevity,NULL,Vaupel et al.,NULL,1998,Science,280,855-860,NULL,NULL,1
31,11602204,Mathematical modeling of the aging processes and the mechanisms of mortality: paramount role of heterogeneity,NULL,Rossolini and Piantanelli,NULL,2001,Exp Gerontol,36,1277-1288,NULL,NULL,1
32,18298646,Reproductive diapause and life-history clines in North American populations of Drosophila melanogaster,NULL,Schmidt and Paaby,NULL,2008,Evolution,62,1204-1215,NULL,NULL,0
33,10850701,Pacific leatherback turtles face extinction,NULL,Spotila et al.,NULL,2000,Nature,405,529-530,NULL,NULL,0
34,NULL,"Thermal and biochemical characteristics of the lipids of the leatherback turtle, Dermochelys coriacea: evidence of endothermy",NULL,Davenport et al.,NULL,1990,J Mar Biol Assoc UK,70,33-41,NULL,NULL,NULL
35,NULL,seaturtle.org,http://www.seaturtle.org/,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,NULL,The predominance of quarter-power scaling in biology,NULL,Savage et al.,NULL,2004,Funct Ecol,18,257-282,NULL,NULL,NULL
37,11567137,Effects of size and temperature on metabolic rate,NULL,Gillooly et al.,NULL,2001,Science,293,2248-2251,NULL,NULL,0
39,NULL,"Negative growth and longevity in the purple sea urchin, Strongylocentrotus purpuratus (Stimpson)",NULL,Ebert,NULL,1967,Science,157,557-558,NULL,NULL,NULL
40,NULL,Red sea urchins (Strongylocentrotus franciscanus) can live over 100 years: confirmation with A-bomb 14carbon,NULL,Ebert and Southon,NULL,2003,Fish Bull,101,915-922,NULL,NULL,NULL
42,NULL,An Introduction to the Natural History of the Frogs and Toads of Ohio,http://www.cmnh.org/collections/vertzoo/frogs/pipiens.html,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,NULL,The Wood Frog (Rana sylvatica),http://www.naturenorth.com/spring/creature/woodfrog/wdfrgcvr.html,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,2655926,A mutant with a defect in telomere elongation leads to senescence in yeast,NULL,Lundblad and Szostak,NULL,1989,Cell,57,633-643,NULL,NULL,0
45,9428525,Extrachromosomal rDNA circles--a cause of aging in yeast,NULL,Sinclair and Guarente,NULL,1997,Cell,91,1033-1042,NULL,NULL,0
46,NULL,WormBase,http://www.wormbase.org/,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,NULL,FlyBase,http://flybase.bio.indiana.edu/,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,14698816,Genetic mouse models of extended lifespan,NULL,Liang et al.,NULL,2003,Exp Gerontol,38,1353-1364,NULL,NULL,1
52,8885718,Invertebrate gerontology: the age mutations of Caenorhabditis elegans,NULL,Lithgow,NULL,1996,Bioessays,18,809-815,NULL,NULL,1
53,11089983,Genetic pathways that regulate ageing in model organisms,NULL,Guarente and Kenyon,NULL,2000,Nature,408,255-262,NULL,NULL,1
54,13733753,Hereditary premature senescence of the rabbit. II. Acute form; general features,NULL,Pearce and Brown,NULL,1960,J Exp Med,111,505-516,NULL,NULL,0
55,13733754,Hereditary premature sensescence of the rabbit. I. Chronic form; general features,NULL,Pearce and Brown,NULL,1960,J Exp Med,111,485-504,NULL,NULL,0
56,14602950,Using yeast to discover the fountain of youth,NULL,Kaeberlein et al.,NULL,2001,Sci Aging Knowledge Environ,2001,pe1,NULL,NULL,1
58,2392680,Slow mortality rate accelerations during aging in some animals approximate that of humans,NULL,Finch et al.,NULL,1990,Science,249,902-905,NULL,NULL,0
59,6771758,Superoxide dismutase: correlation with life-span and specific metabolic rate in primate species,NULL,Tolmasoff et al.,NULL,1980,Proc Natl Acad Sci U S A,77,2777-2781,NULL,NULL,0
650,8375690,"Simultaneous induction of sod, glutathione reductase, GSH, and ascorbate in liver and kidney correlates with survival during aging",NULL,Lopez-Torres et al.,NULL,1993,Free Radic Biol Med,15,133-142,NULL,NULL,0
61,10904259,Genome size and longevity,NULL,Monaghan and Metcalfe,NULL,2000,Trends Genet,16,331-332,NULL,NULL,1
62,14698817,Birds as long-lived animal models for the study of aging,NULL,Holmes and Ottinger,NULL,2003,Exp Gerontol,38,1365-1375,NULL,NULL,1
64,12855286,The eastern box turtle at the Patuxent Wildlife Research Center 1940s to the present: another view,NULL,Henry,NULL,2003,Exp Gerontol,38,773-776,NULL,NULL,0
65,NULL,The Human Mortality Database,http://www.mortality.org/,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,11744039,Caenorhabditis elegans--a paradigm for aging research: advantages and limitations,NULL,Gershon and Gershon,NULL,2002,Mech Ageing Dev,123,261-274,NULL,NULL,1
67,14698813,Advantages and disadvantages of Caenorhabditis elegans for aging research,NULL,Johnson,NULL,2003,Exp Gerontol,38,1329-1332,NULL,NULL,1
