hagrid,maturity_female,maturity_male,weaning,weaning_weight,gestation,litter_size,breeding_cycle,litters_per_year,reproduction,birth_weight,adult_weight,growth_rate
3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Other,NULL,NULL,NULL
5,7,7,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Other,NULL,NULL,NULL
9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Other,NULL,NULL,NULL
11,15,15,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
15,1095,1095,NULL,NULL,NULL,190,NULL,NULL,Oviparous,NULL,NULL,NULL
16,NULL,NULL,NULL,NULL,NULL,148,NULL,NULL,Oviparous,NULL,NULL,NULL
17,NULL,NULL,NULL,NULL,NULL,73,NULL,NULL,Oviparous,NULL,NULL,NULL
18,910,910,63,NULL,8,6000,365,NULL,Oviparous,NULL,21.7667,NULL
19,1095,1095,43,NULL,6,5200,NULL,NULL,Oviparous,NULL,NULL,NULL
20,1825,1460,58,NULL,11,1750,NULL,NULL,Oviparous,NULL,NULL,NULL
21,730,730,35,NULL,4,11074,NULL,NULL,Oviparous,NULL,NULL,NULL
22,NULL,NULL,NULL,NULL,NULL,1300,NULL,NULL,Oviparous,NULL,NULL,NULL
23,730,730,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
24,730,730,NULL,NULL,NULL,1500,NULL,NULL,Oviparous,NULL,NULL,NULL
25,NULL,NULL,15,NULL,2,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
26,NULL,NULL,46,NULL,3,3250,NULL,NULL,Oviparous,NULL,19.267,NULL
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
28,1460,1460,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
29,NULL,1095,30,NULL,NULL,7750,NULL,NULL,Oviparous,NULL,NULL,NULL
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Other,NULL,NULL,NULL
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
36,365,365,29,NULL,2,10000,NULL,NULL,Oviparous,NULL,106.25,NULL
37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
42,365,365,55,NULL,12,6,NULL,NULL,Oviparous,NULL,NULL,NULL
43,75,75,80,NULL,12,7,NULL,NULL,Oviparous,NULL,NULL,NULL
44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
47,304,304,NULL,NULL,15,14,NULL,NULL,Other,NULL,NULL,NULL
48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,48.1,NULL
49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,1,NULL
50,NULL,NULL,70,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
55,730,547,49,NULL,21,35,NULL,NULL,Oviparous,NULL,NULL,NULL
56,730,730,34,NULL,NULL,1222,NULL,NULL,Oviparous,NULL,NULL,NULL
57,NULL,NULL,NULL,NULL,NULL,2250,NULL,NULL,Oviparous,NULL,NULL,NULL
58,1278,1278,NULL,NULL,NULL,920,NULL,NULL,Oviparous,NULL,NULL,NULL
59,NULL,NULL,46,0.385,1,1000,NULL,1,Oviparous,NULL,NULL,NULL
60,730,730,25,NULL,4,1800,NULL,NULL,Oviparous,NULL,7.2,NULL
61,NULL,NULL,NULL,NULL,NULL,775,NULL,NULL,Oviparous,NULL,NULL,NULL
62,NULL,NULL,42,NULL,NULL,1100,NULL,NULL,Oviparous,NULL,NULL,NULL
63,255,120,30,NULL,1,1500,NULL,NULL,Oviparous,NULL,NULL,NULL
64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oviparous,NULL,NULL,NULL
