hagrid,adw,itis,ncbi
1,NULL,563970,NULL
2,NULL,82696,NULL
3,1,83885,NULL
4,NULL,99208,NULL
5,2,146290,7227
6,2,154396,7460
7,NULL,154193,NULL
8,NULL,NULL,NULL
9,1,577031,67767
10,1,580920,NULL
11,NULL,NULL,110368
12,2,97314,6706
13,NULL,161061,NULL
14,NULL,173420,NULL
15,1,661625,8345
16,2,661630,8346
17,1,661632,8348
18,2,773511,8389
19,1,773513,30325
20,2,773515,30327
21,2,773516,30328
22,1,773518,30329
23,1,773521,302540
24,1,773527,47553
25,1,773529,47555
26,2,773531,47559
27,2,202076,47580
28,1,173480,8384
29,2,773562,30324
30,1,661915,NULL
31,1,173496,47586
32,1,550254,NULL
33,1,773672,30338
34,1,773675,NULL
35,1,773692,38577
36,2,773729,8386
37,1,773747,346460
38,1,550308,NULL
39,1,207875,1260751
40,2,207876,248779
41,1,207880,30347
42,2,173543,43471
43,2,662249,85590
44,2,774026,92724
45,2,774032,51949
46,2,774035,51950
47,1,662322,51963
48,1,664986,127645
49,1,774220,NULL
50,2,173520,317300
51,2,208130,197464
52,1,208135,317303
53,1,207353,NULL
54,1,662424,121869
55,2,173502,30342
56,2,173505,8422
57,2,173508,318322
58,1,662527,109175
59,2,173504,317352
60,2,173503,30343
61,1,774480,317346
62,2,662872,30344
63,2,173538,317373
64,1,662705,318373
65,1,208137,75988
66,1,208142,8393
67,2,207303,189920
68,1,662731,43558
69,1,173536,279982
70,1,774570,317388
71,1,662825,44372
72,1,774584,213803
73,2,173546,8439
74,1,207772,47564
75,2,664030,43514
76,1,664036,143428
77,2,173467,8429
78,1,664582,167934
79,1,664605,143526
80,1,664646,143656
81,1,664653,68438
82,1,664730,191477
83,2,586341,143458
84,2,207437,251750
85,2,173549,8355
86,2,665251,30357
87,1,665469,164741
88,2,775084,NULL
89,2,775087,NULL
90,2,775108,NULL
91,2,775112,NULL
92,2,775117,NULL
93,2,775123,NULL
94,1,775190,45623
95,1,775191,8409
96,1,775192,8403
97,1,775195,8406
98,1,665258,109177
99,1,665263,156871
100,2,173446,160496
101,NULL,665307,NULL
102,1,665335,168100
103,1,665365,157586
104,2,173444,8407
105,2,173429,85089
106,2,173426,8435
107,2,206991,233780
108,2,173597,59636
109,1,173600,43110
110,1,173601,43111
111,2,173590,43114
112,2,586244,8296
113,2,173591,43115
114,1,586246,43117
115,2,173604,8306
116,2,173605,8304
117,2,173592,8305
118,2,173743,43477
119,1,173609,8312
120,2,173612,8313
121,1,202085,141262
122,2,550259,166789
123,2,173587,43048
124,1,668207,312230
125,1,668213,113391
126,1,668216,294368
127,1,668220,36312
128,1,668230,113382
129,1,668231,288797
130,1,775880,324332
131,1,668238,288315
132,1,173699,154577
133,2,173703,57541
134,1,208384,129236
135,1,208398,116049
136,1,173640,52103
137,2,173641,52104
138,1,173642,52105
139,1,173644,52107
140,1,173732,57550
141,2,173691,422567
142,2,586343,147900
143,1,668292,147909
144,2,550248,52111
