hagrid,temperature,metabolic_rate,body_mass
18,288,0.00829,21.6
26,288,0.00698,19.2
36,293,0.0303,105
60,290.5,0.00433,6.97
67,292,0.00105,0.9
85,288,0.012,63.6
88,288,0.0134,51.2
90,289.78,0.00576,21.6
92,289.8,0.00416,7.8
111,290,0.005,12.8
117,291,0.00196,3.21
119,288,0.00904,199
123,288,0.0253,358
138,288,0.00411,14.1
149,278.5,0.000099,0.76
152,288,0.00191,4.2
175,288,0.00857,19.1
176,288,0.00518,12.2
192,NULL,0.9516,135
197,NULL,4.9929,3000
207,NULL,2.11,658
222,NULL,5.1887,2860
240,NULL,2.36428,652
251,NULL,2.247,448
256,NULL,3.9209,554
257,NULL,1.68388,250
262,NULL,2.8538,723
263,NULL,4.068,1020
265,NULL,3.6076,904
318,NULL,0.4372,44.9
326,NULL,0.07832,3.2
328,NULL,0.1175,4.8
335,NULL,0.06853,3.8
336,NULL,0.06853,3.7
337,NULL,0.06853,3
338,NULL,4.029,2380
348,NULL,0.4421,72
349,NULL,0.1566,35
366,NULL,6.8224,956
367,NULL,6.8224,989
370,NULL,0.416,36
385,NULL,2.91,449
388,NULL,0.788095,138.7
393,NULL,0.82236,98.1
400,NULL,4.817,1000
403,NULL,2.257,431
404,NULL,2.91742,439
412,NULL,3.43629,761
439,NULL,0.92,90
470,NULL,1.066,156.7
471,NULL,2.16,430
512,NULL,0.8884,131
513,NULL,1.695,445
519,NULL,1.138,154
522,NULL,0.736,123
523,NULL,0.378,34.3
538,NULL,0.838,111.6
539,NULL,1.4661,284.7
556,NULL,1.3014,208
567,NULL,0.755,126.1
570,NULL,2.3894,644
575,NULL,0.891,97
577,NULL,4.957,1131
581,NULL,6.005,2710
582,NULL,2.872,567
588,NULL,2.1783,501
592,NULL,11.816,4010
613,NULL,2.039,412
622,NULL,0.257,21.9
626,NULL,0.203,10.8
627,NULL,0.218,11.5
631,NULL,0.252,12.5
634,NULL,0.199,8.9
635,NULL,0.122375,5.5
636,NULL,0.722,31.7
637,NULL,0.3133,26
639,NULL,0.572,25.5
641,NULL,0.9566,72.5
646,NULL,0.5163,41
647,NULL,0.396495,32
675,NULL,5.5656,1203
677,NULL,3.3531,518
679,NULL,3.86705,640
680,NULL,2.6433,390
687,NULL,1.39997,153
689,NULL,1.346,147
693,NULL,1.196,158.9
694,NULL,1.471,151.9
706,NULL,0.1796,13.8
707,NULL,0.1988,11.6
715,NULL,0.436,26.8
716,NULL,0.407,27
718,NULL,0.3,17.6
719,NULL,0.2959,18
721,NULL,0.211,14.9
723,NULL,0.25,19.1
724,NULL,0.73425,46.6
726,NULL,0.670615,43.7
727,NULL,0.221,15.9
733,NULL,0.27412,21.5
736,NULL,0.1945,11.9
739,NULL,0.278,20.2
741,NULL,0.336,26.1
742,NULL,0.4552,33.3
745,NULL,0.21538,10.3
746,314.15,NULL,NULL
747,NULL,0.2888,14
751,NULL,0.358,21.6
756,NULL,0.373,21
757,NULL,0.383,21
758,NULL,0.339,27.4
759,NULL,0.3108,20.4
