id_hagr,kingdom,phylum,class,subclass,infraclass,superorder,order_c,suborder,family,subfamily,genus,species,name_common,synonyms
1,Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,NULL,Sabellida,NULL,Siboglinidae,NULL,Lamellibrachia,NULL,Tubeworm,NULL
2,Animalia,Arthropoda,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Arthropods,NULL
3,Animalia,Arthropoda,Branchiopoda,Phyllopoda,NULL,NULL,Diplostraca,NULL,Daphniidae,NULL,Daphnia,pulicaria,Daphnia,NULL
4,Animalia,Arthropoda,Insecta,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Insects,NULL
5,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Brachycera,Drosophilidae,Drosophilinae,Drosophila,melanogaster,Fruit fly,Drosophila ampelophila
6,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Apidae,Apinae,Apis,mellifera,Honey bee,NULL
7,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Formicidae,NULL,NULL,NULL,Ants,NULL
8,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,NULL,Hymenoptera,Apocrita,Formicidae,Myrmicinae,Cardiocondyla,obscurior,Cardiocondyla obscurior,NULL
9,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Formicidae,Formicinae,Lasius,niger,Black garden ant,NULL
10,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,NULL,Hymenoptera,Apocrita,Formicidae,Myrmicinae,Pheidole,dentata,Pheidole dentata,NULL
11,Animalia,Arthropoda,Insecta,NULL,NULL,NULL,Lepidoptera,NULL,Nymphalidae,NULL,Bicyclus,anynana,Squinting bush brown,NULL
12,Animalia,Arthropoda,Malacostraca,Eumalacostraca,NULL,Eucarida,Decapoda,Pleocyemata,Nephropidae,Nephropinae,Homarus,americanus,American lobster,NULL
13,Animalia,Chordata,Actinopterygii,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ray-finned fishes,Neopterygii
14,Animalia,Chordata,Amphibia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Amphibians,"Apsidospondyli, Salientia, Lepospondyli, Lissamphibia"
15,Animalia,Chordata,Amphibia,Lissamphibia,NULL,Salientia,Anura,NULL,Bombinatoridae,NULL,Bombina,bombina,Firebelly toad,NULL
16,Animalia,Chordata,Amphibia,Lissamphibia,NULL,Salientia,Anura,NULL,Bombinatoridae,NULL,Bombina,orientalis,Oriental firebelly toad,NULL
