id_refs,hagrid,id_biblio
1,1,652
2,2,2
3,3,1294
4,3,1295
5,3,1296
6,4,2
7,4,595
8,5,2
9,5,20
10,5,32
11,5,47
12,5,53
13,5,68
14,5,69
15,5,240
16,5,241
17,5,242
18,5,243
19,5,274
20,5,602
21,5,981
22,5,1150
23,6,815
24,6,812
25,6,808
26,6,806
27,6,805
28,6,408
29,6,407
30,6,63
31,6,741
32,6,847
33,6,848
34,6,828
35,6,830
36,6,831
37,6,902
38,6,908
39,6,1143
40,6,1166
41,7,2
42,7,1211
43,7,1212
44,7,1218
45,7,1245
46,7,1297
47,8,1293
48,9,411
49,9,813
50,9,814
51,10,1156
52,11,418
53,11,809
54,11,811
55,12,2
56,12,13
57,12,594
58,13,524
59,13,22
60,13,454
61,14,525
62,14,526
63,14,706
64,14,749
65,15,485
66,15,525
67,15,749
68,16,451
69,16,525
70,16,749
71,17,24
72,17,525
73,17,749
74,18,426
75,18,37
76,18,268
77,18,525
78,18,749
79,19,437
80,19,451
81,19,526
82,19,749
83,20,503
84,20,526
85,20,749
86,21,485
87,21,526
88,21,749
89,22,451
90,22,749
91,23,451
92,23,528
93,24,485
94,24,749
95,25,451
96,25,749
97,26,451
98,26,37
99,26,749
100,27,451
101,28,451
102,28,525
103,28,526
104,28,1134
105,29,485
106,29,749
107,30,990
108,31,451
109,32,485
110,33,451
111,34,451
112,35,451
113,35,525
114,36,37
115,36,296
116,36,485
117,36,749
118,37,451
119,38,451
120,39,451
121,40,485
122,40,749
123,41,451
124,42,448
125,42,749
126,43,451
127,43,749
128,44,451
129,45,451
130,46,451
131,47,749
132,48,451
133,48,749
134,49,1096
135,50,485
136,50,749
137,50,1096
138,51,485
139,52,451
140,53,451
141,54,451
142,55,485
143,55,528
144,55,749
145,56,485
146,56,749
147,57,451
148,57,749
149,58,451
150,58,749
151,59,485
152,59,749
153,60,543
154,60,37
155,60,528
156,60,749
157,61,485
158,61,749
159,62,451
160,62,749
161,63,451
162,63,749
163,64,451
164,65,451
165,66,451
166,67,37
167,67,451
168,67,525
169,67,528
170,67,749
171,68,451
172,69,485
173,69,749
174,70,485
175,71,485
176,71,749
177,72,451
178,73,525
179,73,749
180,74,451
181,75,451
182,75,749
183,76,1060
184,77,485
185,77,528
186,77,749
187,78,485
188,79,964
189,80,451
190,81,1060
191,82,485
192,82,749
193,83,451
194,83,749
195,84,485
196,84,749
197,85,451
198,85,10
199,85,37
200,85,196
201,85,526
202,85,607
203,85,749
204,85,1255
205,86,451
206,86,749
207,87,451
208,88,2
209,88,37
210,88,485
211,88,528
212,88,526
213,88,749
214,89,528
215,89,749
216,90,37
217,90,42
218,90,268
219,90,525
220,90,528
221,90,749
222,91,528
223,91,749
224,92,37
225,92,43
226,92,289
227,92,340
228,92,528
229,92,749
230,93,485
231,93,749
232,94,525
233,94,749
234,95,651
235,95,749
236,96,650
237,96,525
238,96,749
239,97,525
240,97,749
241,97,895
242,98,525
243,98,749
244,99,525
245,99,749
246,100,503
247,100,1150
248,101,525
249,102,525
250,102,749
251,103,525
252,103,749
253,104,25
254,104,525
255,104,526
256,104,749
257,104,1118
258,105,485
259,105,458
260,105,749
261,106,485
262,106,528
263,106,749
264,107,437
265,107,749
266,108,485
267,108,749
268,109,485
269,110,437
270,110,749
271,111,37
272,111,528
273,111,749
274,112,451
275,112,449
276,112,749
277,112,796
278,112,843
279,113,485
280,113,528
281,113,749
282,114,451
283,115,528
284,115,749
285,116,485
286,116,749
287,117,485
288,117,27
289,117,37
290,117,440
291,117,1143
292,118,451
293,118,749
294,119,485
295,119,37
296,119,749
297,120,485
298,120,749
299,121,485
300,121,749
301,122,2
302,122,485
303,122,749
304,123,440
305,123,528
306,123,37
307,124,485
308,124,230
309,124,231
310,124,749
311,125,451
312,126,485
313,127,485
314,128,525
315,129,451
316,129,749
317,130,451
318,131,525
319,131,749
320,132,451
321,132,528
322,132,749
323,133,485
324,133,749
325,134,451
326,135,451
327,136,485
328,136,528
329,136,749
330,137,485
331,137,468
332,137,526
333,137,529
334,138,485
335,138,37
336,138,468
337,138,749
338,139,485
339,139,528
340,139,749
341,140,451
342,140,749
343,141,451
344,141,749
345,142,451
346,143,485
347,144,485
348,144,749
349,145,485
350,146,485
351,146,528
352,146,749
353,147,485
354,147,468
355,148,485
356,148,749
357,149,528
358,149,37
359,149,468
360,149,526
361,149,529
362,150,485
363,150,749
364,151,485
365,151,749
366,152,485
367,152,37
368,152,468
369,153,485
370,153,512
371,153,528
372,154,485
373,155,451
374,155,528
375,156,485
376,156,749
377,157,485
378,157,749
379,158,485
380,158,749
381,159,528
382,159,539
383,159,749
384,160,451
385,160,528
386,160,749
387,161,485
388,161,749
389,161,934
390,162,525
391,163,451
392,164,485
393,164,85
394,164,749
395,164,880
396,164,1260
397,165,451
398,165,462
399,165,525
400,166,525
401,166,749
402,167,525
403,167,749
404,168,485
405,168,749
406,169,233
407,169,483
408,169,525
409,169,528
410,169,749
411,170,451
412,171,485
413,172,451
414,173,451
415,173,749
416,174,525
417,175,451
418,175,37
419,176,451
420,176,37
421,176,749
422,177,485
423,177,749
424,178,451
425,178,749
426,179,525
427,180,327
428,180,525
429,180,749
430,181,525
431,182,485
432,182,525
433,182,749
434,183,451
435,183,468
436,183,749
437,184,485
438,184,749
439,185,451
440,186,485
441,187,451
442,188,451
443,189,405
444,189,62
445,189,444
446,189,445
447,189,859
448,189,1147
449,189,1146
450,189,1275
451,189,1276
452,190,427
453,190,444
454,190,732
455,190,445
456,191,450
457,191,437
458,191,444
459,191,729
460,191,732
461,191,445
462,191,1143
463,192,450
464,192,510
465,192,729
466,192,732
467,192,820
468,192,1143
469,192,1150
470,193,427
471,193,437
472,193,444
473,193,445
474,194,1
475,194,821
476,195,575
477,195,972
478,196,1
479,196,820
480,197,61
481,197,425
482,197,437
483,197,440
484,197,445
485,197,732
486,198,1
487,198,732
488,198,820
489,199,1
490,199,821
491,200,1
492,200,820
493,201,1
494,201,820
495,202,575
496,202,732
497,202,821
498,203,1
499,203,820
500,204,450
501,204,729
502,204,732
503,205,1
504,205,437
505,205,444
506,205,732
507,205,445
508,205,427
509,206,450
510,206,437
511,206,444
512,206,445
513,207,427
514,207,435
515,207,440
516,207,444
517,207,445
518,207,820
519,208,577
520,208,444
521,208,732
522,208,445
523,209,427
524,209,437
525,209,448
526,209,732
527,209,445
528,210,450
529,210,820
530,211,445
531,212,427
532,212,437
533,212,444
534,212,445
535,212,732
536,212,818
537,213,1
538,213,444
539,213,445
540,214,1
541,214,732
542,214,820
543,215,1
544,215,729
545,215,820
546,216,450
547,216,729
548,216,820
549,217,450
550,217,437
551,217,444
552,217,732
553,217,445
554,218,1
555,218,820
556,219,1
557,219,729
558,219,820
559,220,1
560,220,820
561,221,444
562,221,445
563,221,427
564,222,425
565,222,575
566,222,820
567,223,1
568,224,575
569,224,820
570,225,575
571,225,732
572,225,820
573,226,575
574,226,820
575,227,1
576,227,729
577,227,820
578,228,1
579,228,444
580,228,732
581,228,1146
582,229,61
583,229,437
584,229,438
585,229,440
586,229,444
587,229,732
588,229,445
589,229,1142
590,230,575
591,230,820
592,231,1
593,232,1
594,232,820
595,233,427
596,233,444
597,233,732
598,233,445
599,234,1
600,234,820
601,235,1
602,235,820
603,236,61
604,236,729
605,236,732
606,236,1143
607,236,1287
608,237,1
609,237,729
610,237,820
611,238,1
612,238,732
613,238,820
614,238,1278
615,239,1
616,239,444
617,239,445
618,240,1
619,240,425
620,240,729
621,240,820
622,241,515
623,242,1
624,242,61
625,242,444
626,242,445
627,242,1143
628,243,820
629,243,1146
630,244,444
631,244,732
632,244,445
633,244,977
634,245,576
635,245,444
636,245,732
637,245,445
638,246,1
639,246,61
640,246,437
641,246,444
642,246,445
643,247,1
644,247,444
645,247,732
646,248,2
647,248,438
648,248,732
649,248,855
650,248,1149
651,249,427
652,249,437
653,249,444
654,249,445
655,249,732
656,250,553
657,250,820
658,251,577
659,251,510
660,251,437
661,251,444
662,251,445
663,251,1143
664,252,427
665,252,448
666,252,575
667,253,450
668,253,437
669,253,444
670,253,445
671,254,576
672,254,444
673,254,445
674,255,427
675,255,820
676,255,849
677,256,729
678,256,425
679,256,444
680,256,820
681,256,445
682,256,553
683,257,425
684,257,437
685,257,444
686,257,445
687,257,450
688,257,820
689,258,576
690,258,444
691,258,445
692,259,427
693,259,437
694,259,444
695,259,445
696,260,1
697,260,445
698,261,576
699,261,445
700,262,450
701,262,425
702,262,444
703,262,729
704,263,729
705,263,61
706,263,394
707,263,510
708,263,437
709,263,444
710,263,732
711,263,445
712,264,450
713,264,729
714,264,820
715,265,425
716,265,437
717,265,444
718,265,732
719,265,445
720,265,972
721,266,450
722,266,437
723,266,444
724,266,732
725,266,445
726,266,972
727,267,445
728,267,437
729,267,444
730,268,575
731,268,543
732,268,729
733,268,820
734,268,732
735,269,450
736,269,729
737,269,820
738,270,444
739,270,450
740,270,729
741,271,576
742,271,444
743,271,732
744,271,445
745,271,1143
746,272,427
747,272,444
748,272,732
749,272,445
750,273,577
751,273,444
752,273,445
753,274,450
754,274,729
755,274,820
756,275,450
757,275,729
758,275,732
759,275,820
760,276,576
761,276,444
762,276,729
763,276,445
764,277,427
765,277,437
766,277,444
767,277,732
768,277,445
769,278,444
770,278,450
771,278,729
772,278,732
773,278,445
774,279,437
775,279,444
776,279,729
777,279,732
778,279,445
779,280,427
780,280,820
781,281,450
782,281,729
783,281,820
784,281,1143
785,281,1170
786,282,445
787,282,1143
788,283,427
789,283,438
790,283,445
791,284,445
792,284,444
793,284,427
794,284,1143
795,285,576
796,285,444
797,285,445
798,286,820
799,287,575
800,287,820
801,288,427
802,288,444
803,288,729
804,288,732
805,288,445
806,288,1143
807,289,427
808,289,445
809,289,818
810,290,818
811,290,444
812,290,445
813,291,444
814,291,445
815,291,450
816,292,820
817,293,1
818,293,437
819,293,438
820,293,445
821,294,444
822,294,450
823,294,437
824,294,445
825,294,1143
826,295,450
827,295,729
828,295,820
829,296,61
830,296,444
831,296,712
832,296,729
833,296,732
834,296,445
835,296,761
836,296,1143
837,296,1150
838,297,444
839,297,445
840,297,576
841,297,732
842,298,427
843,298,444
844,298,445
845,299,448
846,300,427
847,300,445
848,301,61
849,301,427
850,301,438
851,301,444
852,301,445
853,301,986
854,302,450
855,302,444
856,302,729
857,302,445
858,303,450
859,303,445
860,304,427
861,304,820
862,304,977
863,305,450
864,305,820
865,306,450
866,306,444
867,306,729
868,306,445
869,307,450
870,307,444
871,307,729
872,307,732
873,307,445
874,308,729
875,308,820
876,308,450
877,309,1
878,309,820
879,310,576
880,310,444
881,310,445
882,311,575
883,311,820
884,312,818
885,312,444
886,312,445
887,313,427
888,313,445
889,314,450
890,314,444
891,314,729
892,314,732
893,314,445
894,314,1143
895,315,576
896,315,444
897,315,445
898,316,450
899,316,729
900,316,732
901,316,820
902,317,427
903,317,444
904,317,445
905,318,2
906,318,510
907,318,436
908,318,729
909,318,820
910,318,732
911,318,450
912,319,729
913,319,820
914,319,874
915,319,898
916,319,1143
917,319,1150
918,320,579
919,320,444
920,320,732
921,320,445
922,321,579
923,321,444
924,321,732
925,321,445
926,322,427
927,322,444
928,322,445
929,323,427
930,324,427
931,324,820
932,325,427
933,325,445
934,326,818
935,326,427
936,326,425
