pubmed_id,terms,title,journal,author,volume,authors,author_initials,year,contact_addresses,issue,pages,editor,review,publisher,url
1560044,"['Aging/metabolism/physiology', 'Blotting, Northern', 'Bromodeoxyuridine/metabolism', 'Cell Death/physiology', 'Cell Division/physiology', 'Cells, Cultured', 'Chimera/genetics/physiology', 'DNA/biosynthesis/genetics', 'Fibroblasts/metabolism/physiology', 'Gene Expression Regulation/physiology', 'Humans', 'Immunoenzyme Techniques', 'Metallothionein/genetics/physiology', 'Promoter Regions, Genetic/genetics/physiology', 'Proto-Oncogene Proteins c-fos/genetics/physiology', 'Proto-Oncogene Proteins c-jun/genetics/physiology', 'RNA, Messenger/genetics/metabolism', 'Thymidine/metabolism', 'Transfection', 'Zinc/pharmacology']",Renewed DNA synthesis in senescent WI-38 cells by expression of an inducible chimeric c-fos construct.,J. Cell. Physiol.,Phillips et al.,151,,"Phillips, PD et al.",1992,,1,206-212,,,,
2218499,"['Base Sequence', 'Cell Division', 'Cell Survival', 'Cells, Cultured', 'Endothelium, Vascular/cytology/physiology', 'Humans', 'Interleukin-1/genetics', 'Kinetics', 'Molecular Sequence Data', 'Oligonucleotide Probes', 'RNA, Antisense/genetics']",Extension of the life-span of human endothelial cells by an interleukin-1 alpha antisense oligomer.,Science,Maier et al.,249,,"Maier, JA et al.",1990,,4976,1570-1574,,,,
2335454,"['Animals', 'Corneal Stroma/metabolism', 'Endothelium, Corneal/drug effects/metabolism/ultrastructure', 'Freeze Fracturing', 'In Vitro Techniques', 'Intercellular Junctions/drug effects/metabolism/ultrastructure', 'Ouabain/pharmacology', 'Perfusion', 'Permeability/drug effects', 'Rabbits']",Corneal endothelial junctions and the effect of ouabain.,Invest. Ophthalmol. Vis. Sci.,Watsky et al.,31,,"Watsky, MA et al.",1990,,5,933-941,,,,
7544491,"['Animals', 'Base Sequence', 'Cell Death', 'Cell Division', 'Cell Line', 'Cloning, Molecular', 'DNA Nucleotidylexotransferase/antagonists & inhibitors/chemistry/genetics/metabolism', 'HeLa Cells', 'Humans', 'Molecular Sequence Data', 'Oligonucleotides, Antisense/pharmacology', 'Polymerase Chain Reaction', 'RNA/chemistry/genetics/metabolism', 'Templates, Genetic', 'Transfection', 'Tumor Cells, Cultured']",The RNA component of human telomerase.,Science,Feng et al.,269,,"Feng, J et al.",1995,,5228,1236-1241,,,,
7698220,"['Base Sequence', 'Blood', 'CDC2-CDC28 Kinases', 'Cell Aging/physiology', 'Cell Division/physiology', 'Cell Line', 'Cell Line, Transformed', 'Cloning, Molecular', 'Cyclin D1', 'Cyclin-Dependent Kinase 2', 'Cyclin-Dependent Kinase 4', 'Cyclin-Dependent Kinases/antagonists & inhibitors/metabolism', 'Cyclins/biosynthesis/genetics/physiology', 'DNA/biosynthesis', 'DNA Primers', 'Diploidy', 'Fibroblasts/enzymology/physiology', 'Humans', 'Mitosis/physiology', 'Molecular Sequence Data', 'Oncogene Proteins/biosynthesis/genetics/physiology', 'Protein-Serine-Threonine Kinases/antagonists & inhibitors/metabolism', 'Proto-Oncogene Proteins', 'S Phase/physiology']",Overexpression of cyclin D1 blocks proliferation of normal diploid fibroblasts.,Exp. Cell Res.,Atadja et al.,217,,"Atadja, P et al.",1995,,2,205-216,,,,
9032249,"['Alternative Splicing', 'Amino Acid Sequence', 'Animals', 'Cell Aging/genetics', 'Cell Division', 'Cell Line', 'Cell Nucleus/chemistry', 'Collagenases/genetics', 'Cyclin-Dependent Kinase Inhibitor p21', 'Cyclins/genetics', 'Cytoskeletal Proteins', 'DNA/biosynthesis', 'DNA-Binding Proteins/analysis/genetics', 'Fibroblasts/cytology', 'Fibronectins/genetics', 'Gene Expression', 'Genes, fos/genetics', 'Humans', 'Intracellular Signaling Peptides and Proteins', 'LIM Domain Proteins', 'Mice', 'Molecular Sequence Data', 'Phenotype', 'RNA, Antisense/genetics', 'RNA, Messenger/biosynthesis', 'Zinc Fingers']","Induction of senescence-like phenotypes by forced expression of hic-5, which encodes a novel LIM motif protein, in immortalized human fibroblasts.",Mol. Cell. Biol.,Shibanuma et al.,17,,"Shibanuma, M et al.",1997,,3,1224-1235,,,,
9054499,"['Animals', 'Biomarkers', 'Blotting, Northern', 'CDC2-CDC28 Kinases', 'Carrier Proteins/metabolism', 'Cell Aging/genetics', 'Cell Cycle Proteins/metabolism', 'Cyclin-Dependent Kinase 2', 'Cyclin-Dependent Kinase Inhibitor p16', 'Cyclin-Dependent Kinases/metabolism', 'Enzyme Inhibitors/metabolism', 'Fibroblasts/cytology/enzymology', 'Gene Expression Regulation, Neoplastic/physiology', 'Genes, Tumor Suppressor', 'Humans', 'Immunoblotting', 'Mice', 'Mice, Mutant Strains', 'Oncogenes/genetics', 'Protein-Serine-Threonine Kinases/metabolism', 'RNA, Messenger/analysis', 'Transformation, Genetic', 'Tumor Suppressor Protein p53/metabolism', 'ras Proteins/genetics']",Oncogenic ras provokes premature cell senescence associated with accumulation of p53 and p16INK4a.,Cell,Serrano et al.,88,,"Serrano, M et al.",1997,,5,593-602,,,,
9160882,"['Brain-Derived Neurotrophic Factor', 'Capillaries/cytology', 'Cell Aging/drug effects', 'Cell Division/drug effects', 'Cell Size', 'Cells, Cultured', 'Depression, Chemical', 'Endothelial Growth Factors/pharmacology', 'Endothelium, Vascular/cytology/drug effects/metabolism', 'Gene Expression Regulation/drug effects', 'Humans', 'Lymphokines/pharmacology', 'Male', 'Nerve Tissue Proteins/pharmacology', 'Recombinant Proteins/pharmacology', 'Skin/blood supply', 'Vascular Endothelial Growth Factor A', 'Vascular Endothelial Growth Factors']",Vascular permeability factor/vascular endothelial growth factor (VPF/VEGF) delays and induces escape from senescence in human dermal microvascular endothelial cells.,Oncogene,Watanabe et al.,14,,"Watanabe, Y et al.",1997,,17,2025-2032,,,,
9242615,"['Apoptosis', 'Aspartate Carbamoyltransferase/genetics', 'Carbamoyl-Phosphate Synthase (Glutamine-Hydrolyzing)/genetics', 'Cell Aging/genetics', 'Cell Division', 'Cells, Cultured', 'Cyclin-Dependent Kinase Inhibitor p21', 'Cyclins/genetics/physiology', 'DNA Damage', 'Dihydroorotase/genetics', 'Electroporation', 'Fibroblasts', 'G1 Phase', 'Gene Deletion', 'Gene Targeting', 'Genetic Vectors', 'Humans', 'Multienzyme Complexes/genetics', 'Telomere/physiology']",Bypass of senescence after disruption of p21CIP1/WAF1 gene in normal diploid human fibroblasts.,Science,Brown et al.,277,,"Brown, JP et al.",1997,,5327,831-834,,,,
9275177,"['Carcinoma/genetics/pathology', 'Cell Cycle/genetics', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Microscopy, Electron', 'Tumor Cells, Cultured', 'Tumor Suppressor Protein p53/genetics', 'Urinary Bladder Neoplasms/genetics/pathology']",Wild-type p53 triggers a rapid senescence program in human tumor cells lacking functional p53.,Proc. Natl. Acad. Sci. U.S.A.,Sugrue et al.,94,,"Sugrue, MM et al.",1997,,18,9648-9653,,,,
