mapping,gene_symbol,gene_name,entrez_id,total,overexp,underexp,p_value,classification,ensembl,alias
NULL,ABCA3,ATP binding cassette subfamily A member 3,21,17,1,0,0.004278705,NULL,NULL,NULL
NULL,ACTL6A,actin like 6A,86,19,0,1,0.00000024,NULL,NULL,NULL
NULL,ACYP2,acylphosphatase 2,98,19,1,0,0.000016,NULL,NULL,NULL
NULL,PARP1,poly(ADP-ribose) polymerase 1,142,17,0,1,0.0000118,NULL,NULL,NULL
NULL,ADSL,adenylosuccinate lyase,158,19,0,1,0.000273358,NULL,NULL,NULL
NULL,AEBP1,AE binding protein 1,165,20,0,1,0.00000519,NULL,NULL,NULL
NULL,CRYBG1,crystallin beta-gamma domain containing 1,202,16,0,1,0.000680977,NULL,NULL,NULL
NULL,AKR1B1,aldo-keto reductase family 1 member B,231,20,1,0,0.00021949,NULL,NULL,NULL
NULL,AMPD3,adenosine monophosphate deaminase 3,272,15,1,0,0.002324938,NULL,NULL,NULL
NULL,AMPH,amphiphysin,273,20,0,1,0.0000498,NULL,NULL,NULL
NULL,ANGPT1,angiopoietin 1,284,18,1,0,0.000843996,NULL,NULL,NULL
NULL,SLC25A4,solute carrier family 25 member 4,291,14,1,0,0.001640363,NULL,NULL,NULL
NULL,SLC25A5,solute carrier family 25 member 5,292,19,0,1,0.001902323,NULL,NULL,NULL
NULL,ANXA4,annexin A4,307,20,1,0,0.001568256,NULL,NULL,NULL
NULL,AOX1,aldehyde oxidase 1,316,19,1,0,0.001163626,NULL,NULL,NULL
NULL,APEX1,apurinic/apyrimidinic endodeoxyribonuclease 1,328,21,0,1,0.0033472,NULL,NULL,NULL
NULL,BIRC5,baculoviral IAP repeat containing 5,332,19,0,1,1.55E-08,NULL,NULL,NULL
NULL,APLP1,amyloid beta precursor like protein 1,333,20,1,0,0.00000237,NULL,NULL,NULL
NULL,APOC1,apolipoprotein C1,341,14,0,1,0.002501721,NULL,NULL,NULL
NULL,APP,amyloid beta precursor protein,351,19,1,0,0.001163626,NULL,NULL,NULL
NULL,FAS,Fas cell surface death receptor,355,18,1,0,0.000843996,NULL,NULL,NULL
NULL,ARF4,ADP ribosylation factor 4,378,20,1,0,0.001568256,NULL,NULL,NULL
