id_biblio,terms,title,journal,author,volume,authors,pubmed,author_initials,year,contact_addresses,issue,pages,editor,review,publisher,url
17781,"['Animals', 'Body Weight/drug effects', 'Diet', 'Drosophila melanogaster/analysis/physiology', 'Gluconates/pharmacology', 'Lactates/analysis/pharmacology', 'Longevity/drug effects', 'Male']",Increased longevity of Drosophila melanogaster with lactic and gluconic acids.,Exp. Gerontol.,"Massie, HR and Williams, TR",14,,110607,"Massie, H.R. and Williams, T.R.",1979,,3,109-115,,,,
17814,"['Animals', 'Dose-Response Relationship, Drug', 'Drosophila melanogaster/drug effects', 'Hydrocarbons, Iodinated/administration & dosage/pharmacology', 'Longevity/drug effects', 'Motor Activity/drug effects']",Increased longevity of Drosophila melanogaster with diiodomethane.,Gerontology,"Massie, HR et al.",24,,412727,"Massie, HR et al.",1978,,2,104-110,,,,
17815,"['Animals', 'Cattle', 'Estrus/drug effects', 'Female', 'Life Expectancy', 'Neoplasms, Experimental/physiopathology', 'Peptides/pharmacology', 'Pineal Gland/physiology', 'Pregnancy', 'Rats', 'Tissue Extracts/pharmacology']",Increase in lifespan of rats following polypeptide pineal extract treatment.,Exp Pathol (Jena),"Dilman, VM et al.",17,,575333,"Dilman, VM et al.",1979,,9,539-545,,,,
17816,"['Animals', 'Calcium/metabolism', 'Calcium Radioisotopes', 'Chelating Agents/pharmacology', 'Citrates/pharmacology', 'Edetic Acid/pharmacology', 'Egtazic Acid/pharmacology', 'Invertebrates/drug effects', 'Longevity/drug effects', 'Tartrates/pharmacology']",Life extension in the rotifer Mytilina brevispina var redunca by the application of chelating agents.,J Gerontol,"Sincock, AM.",30,,804507,"Sincock, AM.",1975,,3,289-293,,,,
17817,"['Aging', 'Animals', 'Butylated Hydroxytoluene/pharmacology', 'Cresols/pharmacology', 'Female', 'Life Expectancy', 'Male', 'Mice', 'Mice, Inbred BALB C/physiology', 'Mortality']",Effects of the antioxidant butylated hydroxytoluene (BHT) on mortality in BALB/c mice.,J Gerontol,"Clapp, NK et al.",34,,448040,"Clapp, NK et al.",1979,,4,497-501,,,,
17822,"['Aging/drug effects', 'Animals', 'Blood/drug effects', 'Body Weight/drug effects', 'Longevity/drug effects', 'Male', 'Phenethylamines/pharmacology', 'Rats', 'Rats, Inbred F344', 'Selegiline/pharmacology']",Maintenance on L-deprenyl prolongs life in aged male rats.,Life Sci.,"Milgram, NW et al.",47,,2118586,"Milgram, NW et al.",1990,,5,415-420,,,,
17823,"['Animals', 'Cortisone/pharmacology', 'Longevity/drug effects', 'Rotifera/drug effects/physiology']",Cortisone extends life span in the rotifer Asplanchna brightwelli.,Arch Gerontol Geriatr,"Bozovic, V and Enesco, HE",9,,2782995,"Bozovic, V. and Enesco, H.E.",1989,,1,45-51,,,,
17829,"['Animals', 'Antioxidants/pharmacology', 'Caenorhabditis/drug effects/growth & development/physiology', 'Longevity/drug effects', 'Reproduction/drug effects', 'Vitamin E/pharmacology']",Effect of vitamin E on lifespan and reproduction in Caenorhabditis elegans.,Mech. Ageing Dev.,"Harrington, LA and Harley, CB",43,,3374177,"Harrington, L.A. and Harley, C.B.",1988,,1,71-78,,,,
17836,"['Aging', 'Animals', 'Diptera/physiology', 'Female', 'Lipid Peroxides/metabolism', 'Longevity/drug effects', 'Male', 'Malondialdehyde/metabolism', 'Phosphinic Acids/pharmacology']",Life span studies in Zaprionus paravittiger with sodium hypophosphite feeding.,Gerontology,"Wadhwa, R et al.",32,,3721207,"Wadhwa, R et al.",1986,,3,141-147,,,,
17856,"['Aedes/physiology', 'Animals', 'Catechols/administration & dosage/pharmacology', 'Diet', 'Dose-Response Relationship, Drug', 'Female', 'Larva/drug effects', 'Longevity/drug effects', 'Male', 'Masoprocol']",Dietary nordihydroguaiaretic acid increases the life span of the mosquito.,Proc. Soc. Exp. Biol. Med.,"Richie, JP et al.",183,,3749035,"Richie, JP et al.",1986,,1,81-85,,,,
17860,"['Activity Cycles/drug effects', 'Aging', 'Animals', 'Circadian Rhythm/drug effects', 'Curare/pharmacology', 'Dose-Response Relationship, Drug', 'Life Expectancy', 'Reproduction/drug effects', 'Rotifera/physiology']",Life span and age-related changes in activity level of the rotifer Asplanchna brightwelli: influence of curare.,Exp. Gerontol.,"Beauvais, JE and Enesco, HE",20,,3833547,"Beauvais, J.E. and Enesco, H.E.",1985,,6,359-366,,,,
17865,"['Animals', 'Antioxidants/pharmacology', 'Body Weight', 'Diet', 'Female', 'Longevity/drug effects', 'Male', 'Mice', 'Mortality', 'Quinolines/pharmacology', 'Sex Factors']",Effect of ethoxyquin on the longevity of C3H mice.,Nature,"Comfort, A et al.",229,,4927196,"Comfort, A et al.",1971,,5282,254-255,,,,
17866,"['Animals', 'Longevity/drug effects', 'Rotifera/drug effects/physiology', 'Vitamin E/pharmacology']",Vitamin E extends lifespan in the short-lived rotifer Asplanchna brightwelli.,Exp. Gerontol.,"Sawada, M and Enesco, HE",19,,6479253,"Sawada, M. and Enesco, H.E.",1984,,3,179-183,,,,
17868,"['Animals', 'Animals, Newborn/physiology', 'Body Weight', 'Female', 'Hypothyroidism/physiopathology', 'Longevity/drug effects', 'Male', 'Prolactin/blood', 'Rats', 'Thyroid Gland/physiology', 'Thyroxine/blood/pharmacology', 'Triiodothyronine/blood']",Pituitary-thyroid activity and longevity in neonatally thyroxine-treated rats.,Mech. Ageing Dev.,"Ooka, H et al.",22,,6632988,"Ooka, H et al.",1983,,2,113-120,,,,
17874,"['Aging', 'Animals', 'Butylated Hydroxytoluene/pharmacology', 'Drosophila/metabolism', 'Female', 'Lipid Peroxides/metabolism', 'Male', 'Oxidation-Reduction', 'Structure-Activity Relationship']",Effect of butylated hydroxytoluene on the life span of Drosophila bipectinata.,Mech. Ageing Dev.,"Sharma, SP and Wadhwa, R",23,,6656301,"Sharma, S.P. and Wadhwa, R.",1983,,1,67-71,,,,
17879,"['Aging', 'Animals', 'Antibody Formation', 'Female', 'Glycoproteins/analysis', 'Graft Rejection', 'Hypothalamus, Anterior/analysis', 'Leukemia, Experimental/immunology', 'Life Expectancy', 'Male', 'Mice', 'Mice, Inbred C3H', 'Mice, Inbred Strains', 'Neoplasm Transplantation', 'Neoplasms, Experimental/immunology', 'Peptides/analysis', 'Pineal Gland/analysis', 'Rats', 'Skin Transplantation', 'Thymus Gland/analysis']","Carcinogenesis and aging. IV. Effect of low-molecular-weight factors of thymus, pineal gland and anterior hypothalamus on immunity, tumor incidence and life span of C3H/Sn mice.",Mech. Ageing Dev.,"Anisimov, VN et al.",19,,6752596,"Anisimov, VN et al.",1982,,3,245-258,,,,
