id,compound_id,synonym
65544,2986,indolepropionamide
65545,2986,3-Indolyl-propionamide
65546,2986,SCHEMBL664282
65547,2986,CFSWJQNQYHXUEK-UHFFFAOYSA-N
65548,2685,L-carnitine
65549,2685,Levocarnitine
65550,2685,vitamin BT
65551,2685,541-15-1
65552,2685,(R)-Carnitine
65553,2685,Carnitor
65554,2685,(-)-Carnitine
65555,2685,Carnitine
65556,2685,(-)-L-Carnitine
65557,2685,Karnitin
65558,2685,L-(-)-Carnitine
65559,2685,Levocarnitina
65560,2685,Carnitene
65561,2685,L(-)-Carnitine
65562,2685,Levocarnitinum
65563,2685,Metina
65564,2685,L-Carnitine inner salt
65565,2685,Carniking
65566,2685,Carnilean
65567,2685,Carnitolo
65568,2685,Carnovis
65569,2685,Carrier
65570,2685,Lefcar
65571,2685,"Carnitine, (-)-"
65572,2685,Levocarnitinum [Latin]
65573,2686,spermidine
65574,2686,124-20-9
65575,2686,"1,5,10-Triazadecane"
65576,2686,4-Azaoctamethylenediamine
65577,2686,Spermidin
65578,2686,"4-Azaoctane-1,8-diamine"
65579,2686,"N1-(3-Aminopropyl)butane-1,4-diamine"
65580,2686,"N-(3-aminopropyl)butane-1,4-diamine"
65581,2686,"1,4-Butanediamine, N-(3-aminopropyl)-"
65582,2686,"N-(3-Aminopropyl)-1,4-butane-diamine"
65583,2686,"1,4-Diaminobutane, N-(3-aminopropyl)-"
65584,2686,"1,8-Diamino-4-azaoctane"
65585,2686,"N-(3-Aminopropyl)-1,4-butanediamine"
65586,2686,BRN 1698591
65587,2686,AI3-26636
65588,2686,(4-aminobutyl)(3-aminopropyl)amine
65589,2686,EINECS 204-689-0
65590,2686,"N-(3-Aminopropyl)-1,4-diaminobutane"
65591,2686,"N'-(3-aminopropyl)butane-1,4-diamine"
65592,2686,CHEMBL19612
65593,2686,CHEBI:16610
65594,2686,ATHGHQPFGPMSJY-UHFFFAOYSA-N
65595,2686,MFCD00008229
65596,2686,"N-[3-Aminopropyl]-1,4-butanediamine"
65597,2686,"1,4-Butanediamine, N1-(3-aminopropyl)-"
65598,2687,ethanol
65599,2687,ethyl alcohol
65600,2687,alcohol
65601,2687,Methylcarbinol
65602,2687,grain alcohol
65603,2687,64-17-5
65604,2687,Ethyl hydroxide
65605,2687,Ethyl hydrate
65606,2687,Algrain
65607,2687,Alkohol
65608,2687,Anhydrol
65609,2687,Tecsol
65610,2687,etanol
65611,2687,EtOH
65612,2687,Denatured alcohol
65613,2687,Hydroxyethane
65614,2687,Jaysol S
65615,2687,Potato alcohol
65616,2687,Cologne Spirit
65617,2687,Absolute ethanol
65618,2687,Alcool ethylique
65619,2687,Ethanol 200 proof
65620,2687,Molasses alcohol
65621,2687,Spirits of wine
65622,2687,Aethylalkohol
65623,2688,aspirin
65624,2688,ACETYLSALICYLIC ACID
65625,2688,2-Acetoxybenzoic acid
65626,2688,50-78-2
65627,2688,2-(Acetyloxy)benzoic acid
65628,2688,Acetylsalicylate
65629,2688,O-Acetylsalicylic acid
65630,2688,o-Acetoxybenzoic acid
65631,2688,Acetosal
65632,2688,Acylpyrin
65633,2688,Polopiryna
65634,2688,Ecotrin
65635,2688,Salicylic acid acetate
65636,2688,Acenterine
65637,2688,Acetophen
65638,2688,Colfarit
65639,2688,Easprin
65640,2688,o-Carboxyphenyl acetate
65641,2688,Enterosarein
65642,2688,Aceticyl
65643,2688,Acetonyl
65644,2688,Acetosalin
65645,2688,Acetylin
65646,2688,Aspergum
65647,2688,Aspirdrops
65648,2689,1-butanol
65649,2689,butanol
65650,2689,Butan-1-ol
65651,2689,Butyl alcohol
65652,2689,n-butanol
65653,2689,n-butyl alcohol
65654,2689,71-36-3
65655,2689,1-hydroxybutane
65656,2689,Propylcarbinol
65657,2689,Butyl hydroxide
65658,2689,Propylmethanol
65659,2689,Methylolpropane
65660,2689,Hemostyp
65661,2689,Butyric alcohol
65662,2689,n-Butan-1-ol
65663,2689,1-Butyl alcohol
65664,2689,Butanolo
65665,2689,Propyl carbinol
65666,2689,Alcool butylique
65667,2689,Butylowy alkohol
65668,2689,BuOH
65669,2689,Butanolen
65670,2689,Normal primary butyl alcohol
65671,2689,Butanol [French]
65672,2689,Butanolen [Dutch]
65673,2690,LITHOCHOLIC ACID
65674,2690,434-13-9
65675,2690,Lithocolic acid
65676,2690,Lithocholate
65677,2690,3alpha-Hydroxy-5beta-cholanic acid
65678,2690,3alpha-Hydroxy-5beta-cholan-24-oic acid
65679,2690,3-Hydroxycholan-24-oic acid
65680,2690,3alpha-Hydroxycholanic acid
65681,2690,3-alpha-Hydroxycholanic acid
65682,2690,5beta-Cholanic acid-3alpha-ol
65683,2690,NCI-C03861
