id,compound_id,species,strain,dosage,avg_lifespan_change_percent,max_lifespan_change_percent,gender,significance,pubmed_id,notes,biblio_id,last_modified,pvalue
1,2982,Drosophila melanogaster,Oregon R,0.001 M,-3.7,NULL,Male,O,110607,Treatment started in adulthood. The value refers to median lifespan change.,17781,09/06/2020 18:54,NULL
2,2982,Drosophila melanogaster,Oregon R,0.01 M,-13.2,NULL,Male,O,110607,Treatment started in adulthood. The value refers to median lifespan change.,17781,09/06/2020 18:54,NULL
3,2979,Drosophila melanogaster,Oregon R,0.01 M,-10.7,NULL,Male,O,110607,Treatment started in adulthood. The value refers to median lifespan change.,17781,09/06/2020 18:54,NULL
4,2982,Drosophila melanogaster,Oregon R,0.1 M,-56.6,NULL,Male,O,110607,Treatment started in adulthood. The value refers to median lifespan change.,17781,09/06/2020 18:54,NULL
5,2979,Drosophila melanogaster,Oregon R,0.001 M,1.8,NULL,Male,O,110607,Treatment started in adulthood. The value refers to median lifespan change.,17781,09/06/2020 18:54,NULL
6,2806,Drosophila melanogaster,Oregon R,1 M,-9.3,NULL,Male,O,110607,Reared. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
7,2806,Drosophila melanogaster,Oregon R,0.1 M,-5.2,NULL,Male,O,110607,Treatment started on the fifth week as an adult. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
8,2806,Drosophila melanogaster,Oregon R,0.01 M,0,NULL,Male,O,110607,Reared. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
9,2806,Drosophila melanogaster,Oregon R,0.001 M,0,NULL,Male,O,110607,Reared. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
10,2979,Drosophila melanogaster,Oregon R,0.1 M,-66.1,NULL,Male,O,110607,Treatment started in adulthood. The value refers to median lifespan change.,17781,09/06/2020 18:54,NULL
11,2806,Drosophila melanogaster,Oregon R,0.001 M,-1.8,NULL,Male,O,110607,Treatment started in the adult stage. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
12,2806,Drosophila melanogaster,Oregon R,0.5M 2x/week,0,NULL,Male,O,110607,Treatment started in the adult stage. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
13,2806,Drosophila melanogaster,Oregon R,0.25M 2x/week,3.8,NULL,Male,O,110607,Treatment started in the adult stage. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
14,2806,Drosophila melanogaster,Oregon R,0.01M 2x/week,3.8,NULL,Male,O,110607,Treatment started in the adult stage. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
15,2806,Drosophila melanogaster,Oregon R,0.01 M,5.3,NULL,Male,O,110607,Treatment started in the adult stage. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
16,2806,Drosophila melanogaster,Oregon R,0.5 M,9.3,NULL,Male,O,110607,Reared. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
17,2806,Drosophila melanogaster,Oregon R,0.1 M,12.3,NULL,Male,O,110607,Treatment started in the adult stage. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
18,2806,Drosophila melanogaster,Oregon R,0.1 M,20.8,NULL,Male,O,110607,Reared. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
19,2806,Drosophila melanogaster,Oregon R,0.1 M,14.3,NULL,Male,O,110607,Treatment started in the adult stage. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
20,2871,Drosophila melanogaster,Oregon R,0.5M,-1.9,NULL,Male,O,110607,Reared. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
21,2871,Drosophila melanogaster,Oregon R,1 M,-32.7,NULL,NULL,O,110607,Reared. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
22,2806,Drosophila melanogaster,Oregon R,0.25 M,22.2,NULL,Male,O,110607,Reared. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
23,2806,Drosophila melanogaster,Oregon R,0.01 M,7.2,NULL,Male,O,110607,Treatment started in the adult stage. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
24,2871,Drosophila melanogaster,Oregon R,0.01M,3.6,NULL,Male,O,110607,Treatment started in the adult stage. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
25,2871,Drosophila melanogaster,Oregon R,0.001 M,3.6,NULL,NULL,O,110607,Treatment started in the adult stage. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
26,2871,Drosophila melanogaster,Oregon R,0.1M,14,NULL,Male,O,110607,Reared. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
27,2871,Drosophila melanogaster,Oregon R,0.001 M,8,NULL,NULL,O,110607,Reared. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
28,2871,Drosophila melanogaster,Oregon R,0.01M,12,NULL,Male,O,110607,Reared. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
29,2871,Drosophila melanogaster,Oregon R,0.1M,15.5,NULL,Male,O,110607,Treatment started in the adult stage. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
30,2967,Drosophila melanogaster,Oregon R,0.001 M,0,NULL,NULL,O,110607,Treatment started in the adult stage. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
31,2967,Drosophila melanogaster,Oregon R,0.1M,-72,NULL,Male,O,110607,Treatment started in the adult stage. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
32,2967,Drosophila melanogaster,Oregon R,0.01M,6,NULL,Male,O,110607,Treatment started in the adult stage. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
33,2871,Drosophila melanogaster,Oregon R,0.25M,15.4,NULL,Male,O,110607,Reared. The value refers to median lifespan extension.,17781,09/06/2020 18:54,NULL
34,2767,Drosophila melanogaster,,10 µg/ml,29.3,NULL,,O,412727,,17814,09/06/2020 18:54,NULL
35,3002,Rattus norvegicus,,"0.5 mg, 5 times a week",25,NULL,Female,S,575333,,17815,09/06/2020 18:54,NULL
36,2709,Mytilina brevispina,,0.25% on alternate days,51.7,NULL,,O,804507,Treatment started on the third day of life.,17816,09/06/2020 18:54,NULL
37,2784,Mus musculus,BaLB/c,0.75%,30.1,NULL,MALE,S,448040,,17817,13/08/2020 21:42,NULL
38,2714,Mytilina brevispina,,0.25% on alternate days,49.4,NULL,,O,804507,Treatment started on the third day of life.,17816,09/06/2020 18:54,NULL
39,2784,Mus musculus,BaLB/c,0.75%,24.8,NULL,FEMALE,S,448040,,17817,13/08/2020 21:43,NULL
40,3097,Mytilina brevispina,,0.25% on alternate days,43.7,NULL,,O,804507,Treatment started on the third day of life.,17816,09/06/2020 18:54,NULL
41,2697,Mytilina brevispina,,0.25% on alternate days,75.9,NULL,,O,804507,Treatment started on the third day of life.,17816,09/06/2020 18:54,NULL
42,2854,Rattus norvegicus,Fischer 344,0.0025,16.7,17,,S,2118586,,17822,09/06/2020 18:54,NULL
43,2817,Asplanchna brightwelli,clone 4B61,400 µM,-3.2,0,,NS,2782995,Rotifers exposed to cortisone were significantly shorter than control animals.,17823,09/06/2020 18:54,NULL
44,2817,Asplanchna brightwelli,clone 4B61,800 µM,-6.3,0,,NS,2782995,Rotifers exposed to cortisone were significantly shorter than control animals.,17823,09/06/2020 18:54,NULL
45,2817,Asplanchna brightwelli,clone 4B61,50 µM,2.2,0,,NS,2782995,Rotifers exposed to cortisone were significantly shorter than control animals.,17823,09/06/2020 18:54,NULL
46,2817,Asplanchna brightwelli,clone 4B61,100 µM,20.8,0,,S,2782995,Rotifers exposed to cortisone were significantly shorter than control animals.,17823,09/06/2020 18:54,NULL
47,2817,Asplanchna brightwelli,clone 4B61,10 µM,0.7,0,,NS,2782995,Rotifers exposed to cortisone were significantly shorter than control animals.,17823,09/06/2020 18:54,NULL
48,2817,Asplanchna brightwelli,clone 4B61,200 µM,19.3,0,,S,2782995,Rotifers exposed to cortisone were significantly shorter than control animals.,17823,09/06/2020 18:54,NULL
49,3196,Caenorhabditis elegans,N2,80 µg/ml,0,NULL,,NS,3374177,,17829,09/06/2020 18:54,NULL
50,2791,Caenorhabditis elegans,N2,400 µg/ml,4,NULL,,NS,3374177,,17829,09/06/2020 18:54,NULL
51,2791,Caenorhabditis elegans,N2,100 µg/ml,9,NULL,,NS,3374177,,17829,09/06/2020 18:54,NULL
52,2791,Caenorhabditis elegans,N2,200 µg/ml,22,NULL,,S,3374177,Experiment 1 of the article.,17829,09/06/2020 18:54,NULL
