id,compound_id,side_effect,probability,pertid
1,2787,Nausea,0.91,BRD-A02006392
2,2787,Vomiting,0.9,BRD-A02006392
3,2787,Headache,0.84,BRD-A02006392
4,2787,Pain,0.82,BRD-A02006392
5,2787,Diarrhoea,0.82,BRD-A02006392
6,2787,Rash,0.82,BRD-A02006392
7,2787,Oedema,0.72,BRD-A02006392
8,2787,Dizziness,0.7,BRD-A02006392
9,2787,Body temperature increased,0.67,BRD-A02006392
10,2787,Thrombocytopenia,0.67,BRD-A02006392
11,2787,Decreased appetite,0.66,BRD-A02006392
12,2787,Convulsion,0.65,BRD-A02006392
13,2787,Pruritus,0.64,BRD-A02006392
14,2787,Leukopenia,0.61,BRD-A02006392
15,2787,Hallucination,0.61,BRD-A02006392
16,2787,Dry mouth,0.6,BRD-A02006392
17,2787,Urticaria,0.6,BRD-A02006392
18,2787,Asthenia,0.6,BRD-A02006392
19,2787,Hypersensitivity,0.6,BRD-A02006392
20,2787,Constipation,0.59,BRD-A02006392
21,2787,Abdominal pain,0.57,BRD-A02006392
22,2787,Somnolence,0.57,BRD-A02006392
23,2787,Confusional state,0.57,BRD-A02006392
24,2787,Malaise,0.57,BRD-A02006392
25,2787,Insomnia,0.55,BRD-A02006392
26,2787,Dyspnoea,0.53,BRD-A02006392
27,2787,Paraesthesia,0.52,BRD-A02006392
28,2787,Angina pectoris,0.52,BRD-A02006392
29,2787,Erythema,0.52,BRD-A02006392
30,2787,Hyperhidrosis,0.51,BRD-A02006392
31,2787,Anaemia,0.51,BRD-A02006392
32,2787,Tachycardia,0.5,BRD-A02006392
33,2937,Rash,0.97,BRD-A03623303
34,2937,Headache,0.95,BRD-A03623303
35,2937,Pruritus,0.94,BRD-A03623303
36,2937,Nausea,0.94,BRD-A03623303
37,2937,Dizziness,0.91,BRD-A03623303
38,2937,Vomiting,0.91,BRD-A03623303
39,2937,Oedema,0.91,BRD-A03623303
40,2937,Pain,0.9,BRD-A03623303
41,2937,Thrombocytopenia,0.89,BRD-A03623303
42,2937,Asthenia,0.89,BRD-A03623303
43,2937,Diarrhoea,0.89,BRD-A03623303
44,2937,Dyspnoea,0.89,BRD-A03623303
45,2937,Abdominal pain,0.88,BRD-A03623303
46,2937,Paraesthesia,0.87,BRD-A03623303
