id_biblio,pubmed,title,url,author,publisher,year,journal,volume,pages,editor,book_title,review
1,9371826,A mammalian model for Laron syndrome produced by targeted disruption of the mouse growth hormone receptor/binding protein gene (the Laron mouse),NULL,Zhou et al.,NULL,1997,Proc Natl Acad Sci U S A,94,13215-13220,NULL,NULL,0
2,10527674,Is the Laron mouse an accurate model of Laron syndrome?,NULL,Kopchick and Laron,NULL,1999,Mol Genet Metab,68,232-236,NULL,NULL,1
3,12933651,"Deletion, but not antagonism, of the mouse growth hormone receptor results in severely decreased body weights, insulin, and insulin-like growth factor I levels and increased life span",NULL,Coschigano et al.,NULL,2003,Endocrinology,144,3799-3810,NULL,NULL,0
4,10875265,Assessment of growth parameters and life span of GHR/BP gene-disrupted mice,NULL,Coschigano et al.,NULL,2000,Endocrinology,141,2608-2613,NULL,NULL,0
5,11371619,Lifespan extension and delayed immune and collagen aging in mutant mice with defects in growth hormone production,NULL,Flurkey et al.,NULL,2001,Proc Natl Acad Sci U S A,98,6736-6741,NULL,NULL,0
6,10580504,The p66shc adaptor protein controls oxidative stress response and life span in mammals,NULL,Migliaccio et al.,NULL,1999,Nature,402,309-313,NULL,NULL,0
7,11884717,Redox regulation of forkhead proteins through a p66shc-dependent signaling pathway,NULL,Nemoto and Finkel,NULL,2002,Science,295,2450-2452,NULL,NULL,0
8,12032825,"A p53-p66Shc signalling pathway controls intracellular redox status, levels of oxidation-damaged DNA and oxidative stress-induced apoptosis",NULL,Trinei et al.,NULL,2002,Oncogene,21,3872-3878,NULL,NULL,0
9,12571362,"Deletion of the p66Shc longevity gene reduces systemic and tissue oxidative stress, vascular cell apoptosis, and early atherogenesis in mice fed a high-fat diet",NULL,Napoli et al.,NULL,2003,Proc Natl Acad Sci U S A,100,2112-2116,NULL,NULL,0
10,8900272,Dwarf mice and the ageing process,NULL,Brown-Borg et al.,NULL,1996,Nature,384,33,NULL,NULL,0
11,11780111,p53 mutant mice that display early ageing-associated phenotypes,NULL,Tyner et al.,NULL,2002,Nature,415,45-53,NULL,NULL,0
12,12540856,Telomere dysfunction and Atm deficiency compromises organ homeostasis and accelerates ageing,NULL,Wong et al.,NULL,2003,Nature,421,643-648,NULL,NULL,0
13,9060969,"Transgenic mice overexpressing urokinase-type plasminogen activator in the brain exhibit reduced food consumption, body weight and size, and increased longevity",NULL,Miskin and Masos,NULL,1997,J Gerontol A Biol Sci Med Sci,52,B118-B124,NULL,NULL,0
14,11950998,Premature aging in mice deficient in DNA repair and transcription,NULL,de Boer et al.,NULL,2002,Science,296,1276-1279,NULL,NULL,0
15,7664335,The Cockayne syndrome group A gene encodes a WD repeat protein that interacts with CSB protein and a subunit of RNA polymerase II TFIIH,NULL,Henning et al.,NULL,1995,Cell,82,555-564,NULL,NULL,0
16,8602509,Positional cloning of the Werner's syndrome gene,NULL,Yu et al.,NULL,1996,Science,272,258-262,NULL,NULL,0
17,12714972,Recurrent de novo point mutations in lamin A cause Hutchinson-Gilford progeria syndrome,NULL,Eriksson et al.,NULL,2003,Nature,423,293-298,NULL,NULL,0
18,12483226,IGF-1 receptor regulates lifespan and resistance to oxidative stress in mice,NULL,Holzenberger et al.,NULL,2003,Nature,421,182-187,NULL,NULL,0
