hagr_id,year,pubmed,gene_symbol
1,1997,9371826,GHR
1,2003,12933651,GHR
28,2003,12933651,IGF1
73,2003,12933651,IGFBP3
30,2003,12933651,INS
1,2000,10875265,GHR
222,2001,11371619,GHRHR
4,2001,11371619,POU1F1
3,1999,10580504,SHC1
48,1999,10580504,EGF
3,2002,11884717,SHC1
123,2002,11884717,FOXO3
3,2002,12032825,SHC1
6,2002,12032825,TP53
3,2003,12571362,SHC1
5,1996,8900272,PROP1
6,2002,11780111,TP53
7,2003,12540856,TERC
9,2003,12540856,ATM
10,1997,9060969,PLAU
11,2002,11950998,ERCC2
126,2002,11950998,XPA
12,1995,7664335,ERCC8
92,1995,7664335,ERCC6
13,1996,8602509,WRN
14,2003,12714972,LMNA
15,2003,12483226,IGF1R
3,2003,12483226,SHC1
16,2002,12230882,TXN
17,1997,9363890,KL
7,1995,7544491,TERC
8,1996,8978029,TERT
8,1997,9110970,TERT
8,1998,9454332,TERT
7,1998,9454332,TERC
8,1997,9288757,TERT
4,1992,1509263,POU1F1
8,1992,1582420,TERT
7,1992,1582420,TERC
7,1997,9335332,TERC
7,1999,10089885,TERC
8,2001,11387197,TERT
8,2002,12034875,TERT
9,1998,9733514,ATM
6,1998,9733514,TP53
9,1998,9733515,ATM
6,1998,9733515,TP53
9,2002,12142523,ATM
6,2002,12142523,TP53
9,1997,9363685,ATM
6,2002,12115733,TP53
6,2003,12533509,TP53
61,2003,12533509,BRCA1
274,2003,12533509,TP53BP1
149,1997,9197240,ERCC1
107,1994,8108730,CAT
130,1994,8108730,SOD1
130,2003,12743125,SOD1
129,2003,12743125,SOD2
107,2003,12743125,CAT
16,2003,12743125,TXN
130,1998,9620775,SOD1
127,2002,11867705,MSRA
127,2001,11606777,MSRA
16,2003,12956415,TXN
153,2003,12956415,GPX1
154,2003,12956415,GSR
155,2003,12956415,GSS
156,2003,12956415,GSTA4
157,2003,12956415,GSTP1
130,1996,8673102,SOD1
153,1997,9195979,GPX1
107,2000,11033419,CAT
130,2000,10719757,SOD1
130,1992,1383769,SOD1
141,2003,12891360,PRDX1
158,2003,12826641,MT-CO1
129,1998,9774481,SOD2
129,2001,11514315,SOD2
44,1998,9590181,NBN
44,2000,11089984,NBN
12,2000,11089984,ERCC8
13,2000,11089984,WRN
14,2000,11089984,LMNA
13,1997,9352493,WRN
13,1997,9288107,WRN
13,1998,9771700,WRN
191,2005,15837123,BDNF
163,2005,15767565,MAPK8
35,2005,15767565,AKT1
172,2005,15767565,JUN
174,2005,15767565,MAPK9
123,2005,15767565,FOXO3
124,2005,15767565,FOXO1
131,2005,15767565,FOXM1
183,2005,15767565,FOXO4
13,2000,10725663,WRN
80,2000,10725663,TOP2A
81,2000,10725663,TOP2B
13,2000,11087895,WRN
83,2000,11087895,TOP1
14,2003,12927431,LMNA
14,1991,1944388,LMNA
44,1998,9620777,NBN
44,1998,9590180,NBN
60,1992,1465394,PARP1
38,1999,10638521,HRAS
28,2002,12169020,IGF1
30,2002,12169020,INS
7,1989,2655926,TERC
8,1989,2655926,TERT
7,1990,1689810,TERC
105,2000,10669743,TERF1
116,2000,10669743,TERF2
116,1998,9476899,TERF2
116,1999,10338214,TERF2
105,1999,10338214,TERF1
105,1997,9034193,TERF1
116,2002,11923537,TERF2
116,1999,10037601,TERF2
6,1999,10037601,TP53
9,1999,10037601,ATM
105,2003,12944479,TERF1
120,1989,2673543,RB1
120,1989,2673546,RB1
120,1989,2673542,RB1
120,1997,9219514,RB1
120,1992,1321348,RB1
18,1992,1321348,E2F1
18,1993,8357823,E2F1
18,1997,9375022,E2F1
6,1997,9275177,TP53
6,1996,8654922,TP53
6,2003,12750285,TP53
84,2003,12750285,RAD51
6,1994,7958916,TP53
6,2000,10973262,TP53
7,2000,10973262,TERC
6,1997,9218725,TP53
6,2003,12917625,TP53
8,2003,12917625,TERT
120,1984,6320372,RB1
120,1988,3162593,RB1
7,1998,9849895,TERC
8,1998,9849895,TERT
7,1998,9742964,TERC
8,1998,9742964,TERT
8,1995,7761406,TERT
7,1998,9560153,TERC
8,2002,11850781,TERT
7,2002,11850781,TERC
8,1999,10568811,TERT
7,1999,10568811,TERC
8,2003,12764382,TERT
8,1996,8692840,TERT
8,1996,8618017,TERT
8,1995,7727765,TERT
8,1996,8808676,TERT
127,2005,15680229,MSRA
7,2005,15974869,TERC
8,2005,15974869,TERT
7,2001,11574891,TERC
8,1998,9600234,TERT
8,1997,,TERT
7,1997,,TERC
6,1992,1511730,TP53
50,1992,1511730,FOS
172,1992,1511730,JUN
39,1992,1511730,MYC
38,1992,1511730,HRAS
50,1993,7684831,FOS
172,1993,7684831,JUN
143,1994,8051093,RELA
6,1994,8051093,TP53
86,1994,8051093,TNF
6,1999,9989825,TP53
20,1999,9989825,NFKB2
82,1999,9989825,NFKB1
143,1999,9989825,RELA
69,1999,9989825,BCL2
143,1999,10094826,RELA
20,1999,10094826,NFKB2
91,2010,20937129,TGFB1
91,1999,10082664,TGFB1
91,1989,2498805,TGFB1
91,1996,8885230,TGFB1
120,1996,8885230,RB1
91,1995,8530457,TGFB1
91,1990,2163767,TGFB1
120,1990,2163767,RB1
91,1991,1901652,TGFB1
120,1991,1901652,RB1
91,2001,11060295,TGFB1
168,2000,10856288,MAPK14
193,2000,10856288,ATF2
168,1999,10581258,MAPK14
6,1999,10581258,TP53
168,1998,9712902,MAPK14
193,1998,9712902,ATF2
168,2001,11069918,MAPK14
193,2001,11069918,ATF2
120,1992,1641004,RB1
193,1992,1641004,ATF2
168,2002,12419465,MAPK14
193,2002,12419465,ATF2
91,2002,12419465,TGFB1
120,1994,8119953,RB1
193,1994,8119953,ATF2
193,1999,10480932,ATF2
91,1999,10480932,TGFB1
168,1999,10480932,MAPK14
168,2003,12581156,MAPK14
120,2003,12581156,RB1
28,2003,12843179,IGF1
36,2003,12843179,PIK3CB
15,2003,12843179,IGF1R
32,2003,12843179,IRS1
124,2003,12843179,FOXO1
5,1999,,PROP1
5,2001,11487592,PROP1
26,2001,11487592,GH1
26,2003,12915652,GH1
5,2003,12915652,PROP1
138,1994,8136829,APOE
17,2002,11792841,KL
13,2003,12934712,WRN
13,2000,11023999,WRN
6,2000,11023999,TP53
13,2003,14527998,WRN
14,2003,12748643,LMNA
14,1978,147113,LMNA
12,1978,147113,ERCC8
13,1978,147113,WRN
186,1978,147113,BSCL2
187,1978,147113,AGPAT2
123,2002,12239572,FOXO3
129,2002,12239572,SOD2
123,2001,11154281,FOXO3
35,2001,11154281,AKT1
36,2001,11154281,PIK3CB
123,2002,11884591,FOXO3
36,2002,11884591,PIK3CB
35,2002,11884591,AKT1
131,2001,11572993,FOXM1
177,2001,11572993,CCNA2
201,2001,11572993,CDK1
7,2000,11081503,TERC
8,2000,11081503,TERT
8,2003,12527915,TERT
112,2002,12377759,XRCC5
117,2002,12377759,XRCC6
130,2003,12871978,SOD1
6,1999,10557106,TP53
120,1999,10557106,RB1
18,1999,10557106,E2F1
6,2003,12719720,TP53
223,2003,12719720,CTNNB1
35,2003,12719720,AKT1
106,2003,12919958,PRKDC
9,2003,12919958,ATM
231,2003,12919958,ATR
76,2003,12629205,EGR1
6,2003,12629205,TP53
120,1994,8278403,RB1
14,1994,8278403,LMNA
6,2003,12665570,TP53
151,2003,12665570,HDAC1
148,2001,11331780,TOP3B
13,2002,12181313,WRN
68,2002,12181313,BLM
116,2002,12181313,TERF2
13,2003,12771022,WRN
13,1999,10364153,WRN
6,1999,10364153,TP53
13,2000,10880505,WRN
112,2000,10880505,XRCC5
117,2000,10880505,XRCC6
13,2003,12827497,WRN
8,2003,12827497,TERT
150,2004,15604409,SIRT1
6,2004,15604409,TP53
123,2004,15604409,FOXO3
14,2008,18381888,LMNA
60,2005,15855340,PARP1
168,2003,12885591,MAPK14
48,2003,12885591,EGF
40,2003,12885591,EGFR
175,2003,12885591,MAPK3
150,2002,12524341,SIRT1
64,2002,12524341,CREBBP
30,2003,12543978,INS
42,2003,12543978,INSR
26,2002,11994335,GH1
5,1999,9920061,PROP1
60,1999,10471503,PARP1
145,2002,12368201,RGN
86,2002,12368201,TNF
115,2002,12368201,FAS
146,2002,12471266,ATP5O
28,2000,10873623,IGF1
30,2000,10873623,INS
4,1992,1509262,POU1F1
15,1991,1849352,IGF1R
42,2001,11292875,INSR
15,2001,11292875,IGF1R
32,2001,11292874,IRS1
34,2001,11292874,IRS2
15,2000,11021802,IGF1R
42,2000,11021802,INSR
9,1991,2005780,ATM
11,1986,3770739,ERCC2
84,1999,10207108,RAD51
147,1999,10207108,RAD52
68,1998,9808625,BLM
68,1969,5770175,BLM
106,1997,9122213,PRKDC
117,1989,2466842,XRCC6
117,1998,9702186,XRCC6
112,2000,10761921,XRCC5
6,2000,10761921,TP53
150,2001,11242085,SIRT1
123,2001,11242085,FOXO3
124,2001,11242085,FOXO1
131,2001,11242085,FOXM1
183,2001,11242085,FOXO4
42,2001,11242085,INSR
91,2001,11242085,TGFB1
150,1999,10521401,SIRT1
150,2003,12482959,SIRT1
25,2002,12459580,HDAC3
150,2002,12459580,SIRT1
151,2002,12459580,HDAC1
207,2002,12459580,HDAC2
25,1999,10512855,HDAC3
207,1999,10512855,HDAC2
151,1999,10512855,HDAC1
107,2000,10968795,CAT
129,2000,10968795,SOD2
130,2000,10968795,SOD1
107,2000,11117918,CAT
132,1997,9020081,COQ7
158,1999,10330149,MT-CO1
154,1999,10506576,GSR
125,2002,12136014,HSF1
125,1997,9363888,HSF1
160,1997,9363888,HSPA1A
161,1997,9363888,HSPA1B
162,2001,11742076,PCMT1
163,2003,14602080,MAPK8
174,2003,14602080,MAPK9
172,2003,14602080,JUN
1,1995,7664676,GHR
28,1995,7664676,IGF1
215,1995,7664676,JAK2
41,1998,9553078,ERBB2
40,1998,9553078,EGFR
24,1998,9553078,NRG1
56,1999,10398293,RET
63,1999,10209098,PTEN
218,1996,8841178,LEPR
103,2002,12297334,EEF2
167,2002,11772533,IL7
167,2001,11160192,IL7
144,2001,11640949,IL6
86,2001,11640949,TNF
144,2003,12633940,IL6
46,2003,12633940,IL2
13,2003,12842909,WRN
39,2003,12842909,MYC
39,1999,9973199,MYC
170,1999,9973199,SP1
8,1999,9973199,TERT
39,1999,9988278,MYC
8,1999,9988278,TERT
39,1996,8712067,MYC
8,2001,11452025,TERT
39,2001,11452025,MYC
170,2001,11452025,SP1
222,2002,12529933,GHRHR
2,2001,11443181,GHRH
2,2001,11213276,GHRH
1,2001,11213276,GHR
28,2001,11213276,IGF1
3,2003,14530863,SHC1
4,2002,11718806,POU1F1
4,1999,10549301,POU1F1
5,2001,11213270,PROP1
28,2001,11213270,IGF1
1,1990,2233903,GHR
11,2003,14630875,ERCC2
12,2000,10688865,ERCC8
11,2000,10688865,ERCC2
12,1996,9117983,ERCC8
14,1996,9117983,LMNA
13,1996,9117983,WRN
9,1996,9117983,ATM
128,1996,9117983,RECQL4
92,1996,9117983,ERCC6
12,1993,8247153,ERCC8
15,1993,8247153,IGF1R
42,1993,8247153,INSR
123,1993,8247153,FOXO3
14,,,LMNA
15,1993,8402902,IGF1R
28,1993,8402902,IGF1
16,2003,14580311,TXN
16,2003,12742531,TXN
153,2003,12742531,GPX1
154,2003,12742531,GSR
155,2003,12742531,GSS
156,2003,12742531,GSTA4
157,2003,12742531,GSTP1
195,2003,12742531,APEX1
16,2000,11237106,TXN
17,2003,14528024,KL
17,2002,12119304,KL
17,2000,10837414,KL
17,2004,14701853,KL
17,2002,12369777,KL
17,2003,12475907,KL
17,2002,12362891,KL
18,1998,9537419,E2F1
120,1998,9537419,RB1
18,2002,11909960,E2F1
18,2000,10594030,E2F1
18,2003,12554697,E2F1
77,2003,12554697,VEGFA
99,2003,12554697,PRKCA
36,2003,12554697,PIK3CB
19,1985,4025385,PTPN11
19,1996,8992867,PTPN11
19,2000,10895047,PTPN11
1,2000,10895047,GHR
20,2002,12380689,NFKB2
82,2002,12380689,NFKB1
143,2002,12380689,RELA
20,2002,12020944,NFKB2
82,2002,12020944,NFKB1
