id_inter,hagrid_one,hagrid_two,type
9026,123,94,NULL
11421,1,23,NULL
11422,1,271,NULL
8338,171,77,NULL
11423,1,19,NULL
11424,1,21,NULL
11134,15,271,NULL
11135,15,216,NULL
11136,15,210,NULL
10831,37,31,NULL
11137,15,19,NULL
11138,15,22,NULL
11139,15,41,NULL
8452,165,54,NULL
11394,3,185,NULL
11395,3,160,NULL
11396,3,161,NULL
11397,3,37,NULL
9140,119,159,NULL
8325,172,216,NULL
11398,3,166,NULL
10550,51,122,NULL
9881,82,274,NULL
11399,3,40,NULL
9122,120,281,NULL
11400,3,41,NULL
11401,3,42,NULL
11402,3,171,NULL
11403,3,49,NULL
11404,3,51,NULL
11339,6,192,NULL
11340,6,194,NULL
11341,6,195,NULL
8280,173,216,NULL
11342,6,198,NULL
11343,6,199,NULL
11344,6,200,NULL
10945,27,165,NULL
11345,6,201,NULL
11346,6,202,NULL
11347,6,204,NULL
11348,6,207,NULL
11349,6,210,NULL
11350,6,211,NULL
11351,6,212,NULL
11352,6,216,NULL
11353,6,219,NULL
11354,6,221,NULL
11355,6,226,NULL
11356,6,227,NULL
10755,40,245,NULL
11357,6,228,NULL
11358,6,231,NULL
11359,6,234,NULL
11360,6,241,NULL
11361,6,244,NULL
10943,28,15,NULL
11362,6,245,NULL
11363,6,247,NULL
11239,9,18,NULL
11240,9,112,NULL
11241,9,243,NULL
6751,302,113,NULL
11202,11,111,NULL
11203,11,147,NULL
11195,12,92,NULL
11174,13,68,NULL
11175,13,71,NULL
11176,13,211,NULL
11177,13,84,NULL
11178,13,96,NULL
11161,14,239,NULL
11162,14,117,NULL
11140,15,137,NULL
11405,3,52,NULL
11406,3,54,NULL
11407,3,56,NULL
11408,3,57,NULL
11409,3,65,NULL
11381,4,173,NULL
11364,6,250,NULL
11365,6,256,NULL
11366,6,269,NULL
11367,6,274,NULL
8842,138,205,NULL
11368,6,278,NULL
11369,6,281,NULL
11124,16,39,NULL
11163,14,120,NULL
11380,4,172,NULL
11425,1,22,NULL
9581,96,82,NULL
9470,100,53,NULL
7746,208,202,NULL
9697,91,137,NULL
11370,6,284,NULL
11371,6,290,NULL
11372,6,297,NULL
11373,6,298,NULL
11374,6,299,NULL
11264,6,6,NULL
11265,6,8,NULL
9123,120,110,NULL
11208,10,39,NULL
10938,30,137,NULL
11426,1,215,NULL
11427,1,26,NULL
11428,1,122,NULL
11410,3,199,NULL
11141,15,185,NULL
11411,3,74,NULL
11412,3,78,NULL
11413,3,215,NULL
11414,3,216,NULL
11266,6,9,NULL
11267,6,11,NULL
11268,6,12,NULL
11269,6,13,NULL
11270,6,14,NULL
8326,172,89,NULL
8023,193,44,NULL
11271,6,15,NULL
9812,85,115,NULL
11125,16,63,NULL
11242,9,116,NULL
11243,9,247,NULL
11204,11,92,NULL
11196,12,94,NULL
9694,92,60,NULL
11164,14,121,NULL
9695,92,61,NULL
11179,13,226,NULL
11180,13,231,NULL
11142,15,28,NULL
11077,19,52,NULL
11181,13,106,NULL
11182,13,236,NULL
11244,9,84,NULL
11183,13,112,NULL
11382,4,55,NULL
9485,99,283,NULL
11272,6,16,NULL
8327,172,94,NULL
9124,120,115,NULL
8328,172,96,NULL
11184,13,113,NULL
8794,143,219,NULL
8795,143,94,NULL
9882,82,276,NULL
8835,139,234,NULL
10756,40,249,NULL
10589,47,47,NULL
6776,299,216,NULL
10577,49,3,NULL
8051,192,231,NULL
9125,120,247,NULL
9261,113,112,NULL
9262,113,113,NULL
8329,172,97,NULL
9302,112,213,NULL
10757,40,122,NULL
8418,168,103,NULL
8268,174,220,NULL
8269,174,122,NULL
7731,209,63,NULL
11033,22,15,NULL
10662,42,54,NULL
10649,43,110,NULL
10650,43,121,NULL
6777,299,207,NULL
10681,41,24,NULL
8796,143,96,NULL
9757,86,219,NULL
8419,168,40,NULL
8024,193,113,NULL
10837,36,122,NULL
11258,8,210,NULL
11259,8,117,NULL
9209,116,118,NULL
11263,7,8,NULL
10907,33,22,NULL
10306,64,25,NULL
10307,64,117,NULL
10308,64,297,NULL
9833,84,250,NULL
9406,106,117,NULL
10411,61,105,NULL
10412,61,106,NULL
6752,302,243,NULL
9231,114,105,NULL
7834,202,208,NULL
8975,126,149,NULL
9126,120,122,NULL
11273,6,38,NULL
10930,32,215,NULL
7952,196,120,NULL
7953,196,94,NULL
7747,208,94,NULL
7723,210,123,NULL
11245,9,123,NULL
11375,5,223,NULL
9065,122,120,NULL
11429,1,245,NULL
11415,3,106,NULL
8145,184,22,NULL
11260,8,123,NULL
11261,8,221,NULL
11262,8,245,NULL
11110,18,120,NULL
11078,19,57,NULL
11079,19,185,NULL
11080,19,215,NULL
11081,19,223,NULL
11082,19,97,NULL
11083,19,168,NULL
11084,19,122,NULL
11050,21,22,NULL
11051,21,215,NULL
11034,22,221,NULL
11035,22,94,NULL
11036,22,96,NULL
11037,22,110,NULL
11038,22,41,NULL
11039,22,120,NULL
10994,23,216,NULL
10995,23,23,NULL
10996,23,298,NULL
10539,52,185,NULL
10997,23,61,NULL
10979,24,265,NULL
10980,24,41,NULL
10998,23,94,NULL
10939,29,73,NULL
10931,32,216,NULL
10932,32,221,NULL
10933,32,297,NULL
10934,32,122,NULL
8136,185,219,NULL
10908,33,215,NULL
10909,33,122,NULL
8483,164,117,NULL
10892,34,150,NULL
10893,34,216,NULL
10894,34,185,NULL
10895,34,122,NULL
10896,34,286,NULL
8484,164,122,NULL
6778,299,61,NULL
10820,38,6,NULL
10821,38,10,NULL
10822,38,185,NULL
10823,38,42,NULL
10824,38,286,NULL
10813,39,190,NULL
10814,39,118,NULL
10815,39,120,NULL
10816,39,123,NULL
10817,39,281,NULL
10818,39,298,NULL
10551,51,285,NULL
9184,117,117,NULL
10682,41,57,NULL
10683,41,122,NULL
10684,41,62,NULL
10663,42,215,NULL
10664,42,122,NULL
10651,43,298,NULL
10599,45,50,NULL
10600,45,150,NULL
10601,45,61,NULL
10602,45,94,NULL
10586,48,85,NULL
10578,49,46,NULL
10579,49,215,NULL
8330,172,106,NULL
8331,172,110,NULL
8332,172,190,NULL
10552,51,63,NULL
10540,52,122,NULL
8137,185,94,NULL
10529,54,74,NULL
10530,54,39,NULL
10309,64,251,NULL
10508,55,150,NULL
10509,55,122,NULL
10510,55,94,NULL
10499,56,122,NULL
10491,57,159,NULL
10476,59,60,NULL
10477,59,94,NULL
10469,60,124,NULL
10413,61,18,NULL
10414,61,110,NULL
10415,61,112,NULL
10416,61,113,NULL
10417,61,243,NULL
10418,61,116,NULL
10419,61,117,NULL
10420,61,247,NULL
10357,62,117,NULL
10310,64,124,NULL
10311,64,125,NULL
10312,64,85,NULL
10247,65,245,NULL
10248,65,120,NULL
10213,67,118,NULL
10214,67,126,NULL
10177,68,84,NULL
10154,69,119,NULL
10076,74,297,NULL
