id_refs,hagrid,id_biblio
1,1,1
2,1,2
3,1,3
4,1,4
5,222,5
6,3,6
7,3,7
9,3,8
8,6,8
10,3,9
11,4,5
12,5,10
13,6,11
14,7,12
15,9,12
16,10,13
17,11,14
18,12,15
19,13,16
20,14,17
21,15,18
22,16,19
23,17,20
24,7,21
25,8,22
26,8,23
27,8,24
28,7,24
29,8,25
2489,2,1355
31,8,27
32,7,27
33,7,28
34,7,29
35,8,30
36,8,31
37,9,32
38,9,33
39,9,34
40,9,35
41,6,36
42,6,37
43,6,32
44,6,33
45,6,34
46,61,37
47,149,38
48,107,39
49,130,39
50,130,40
51,129,40
52,107,40
53,16,40
54,130,41
55,127,42
56,127,43
57,16,44
58,153,44
59,154,44
60,155,44
61,156,44
62,157,44
63,130,45
64,153,46
65,107,47
66,130,48
67,130,49
68,141,50
69,158,51
70,129,52
71,129,53
72,44,54
73,44,55
74,12,55
75,13,55
76,14,55
77,13,56
78,13,57
79,13,58
2488,26,1354
2487,2,1354
82,13,61
83,80,61
84,81,61
85,13,62
86,83,62
87,14,63
88,14,64
89,14,65
90,44,66
91,44,67
92,60,68
93,38,69
94,28,70
95,30,70
96,7,71
97,8,71
98,7,72
99,105,73
100,116,73
101,116,74
102,116,75
103,105,75
104,105,76
105,116,77
106,116,78
107,6,78
108,9,78
109,105,79
110,120,80
111,120,81
112,120,82
113,120,83
114,120,84
115,18,84
116,18,85
117,18,86
118,6,87
119,6,88
120,6,89
121,84,89
122,6,90
123,6,91
124,7,91
125,6,92
126,6,93
127,6,94
128,8,94
129,120,95
130,120,96
131,120,97
132,7,98
133,7,99
134,8,98
135,8,99
136,8,100
137,7,101
138,8,102
139,7,102
140,8,103
141,8,104
142,7,104
143,8,105
144,8,106
145,8,107
146,8,108
147,8,109
148,8,110
149,8,111
151,7,113
152,7,114
153,7,115
154,8,116
155,8,117
156,7,117
157,6,118
158,50,118
159,172,118
160,39,118
161,38,118
162,50,119
163,172,119
164,143,120
165,6,120
