"id_biblio","pubmed","title","url","author","publisher","year","journal","volume","pages","editor","book_title","review"
0001,15574588,"The AMP-activated protein kinase AAK-2 links energy levels and insulin-like signals to lifespan in C. elegans.","","Apfeld et al","",2004,"Genes Dev.","18","3004-3009","","",NULL
0002,17608836,"Functional genomic approach to identify novel genes involved in the regulation of oxidative stress resistance and animal lifespan.",NULL,"Kim and Sun",NULL,2007,"Aging Cell","6","489-503",NULL,NULL,NULL
0003,16256736,"A role for SIR-2.1 regulation of ER stress response genes in determining C. elegans life span.",NULL,"Viswanathan et al",NULL,2005,"Dev. Cell","9","605-615",NULL,NULL,NULL
0004,12447374,"A systematic RNAi screen identifies a critical role for mitochondria in C. elegans longevity.",NULL,"Lee et al",NULL,2003,"Nat. Genet.","33","40-48",NULL,NULL,NULL
0005,15998808,"A systematic RNAi screen for longevity genes in C. elegans.",NULL,"Hamilton et al",NULL,2005,"Genes Dev.","19","1544-1555",NULL,NULL,NULL
0006,17662940,"Type 5 adenylyl cyclase disruption increases longevity and protects against stress.",NULL,"Yan et al",NULL,2007,"Cell","130","247-258",NULL,NULL,NULL
0007,8608934,"A mutation in the age-1 gene in Caenorhabditis elegans lengthens life and reduces hermaphrodite fertility.",NULL,"Friedman and Johnson",NULL,1988,"Genetics","118","75-86",NULL,NULL,NULL
0008,16418483,"Extension of chronological life span in yeast by decreased TOR pathway signaling.",NULL,"Powers et al",NULL,2006,"Genes Dev.","20","174-184",NULL,NULL,NULL
0009,18006689,"Gene activities that mediate increased life span of C. elegans insulin-like signaling mutants.",NULL,"Samuelson et al",NULL,2007,"Genes Dev.","21","2976-2994",NULL,NULL,NULL
0010,17227869,"Cdc42 GTPase-activating protein deficiency promotes genomic instability and premature aging-like phenotypes.",NULL,"Wang et al",NULL,2007,"Proc. Natl. Acad. Sci. U.S.A.","104","1248-1253",NULL,NULL,NULL
0011,16847346,"Early aging and age-related pathologies in mice deficient in BMAL1, the core componentof the circadian clock.",NULL,"Kondratov et al",NULL,2006,"Genes Dev.","20","1868-1873",NULL,NULL,NULL
0012,16103914,"New genes tied to endocrine, metabolic, and dietary regulation of lifespan from a Caenorhabditis elegans genomic RNAi screen.",NULL,"Hansen et al",NULL,2005,"PLoS Genet.","1","119-128",NULL,NULL,NULL
0013,11410594,"Mitochondrial respiratory chain deficiency in Caenorhabditis elegans results in developmental arrest and increased life span.",NULL,"Tsang et al",NULL,2001,"J. Biol. Chem.","276","32240-32246",NULL,NULL,NULL
0014,18056421,"Atg7-dependent autophagy promotes neuronal health, stress tolerance, and longevity but is dispensable for metamorphosis in Drosophila.",NULL,"Juh?sz et al",NULL,2007,"Genes Dev.","21","3061-3066",NULL,NULL,NULL
0015,18059160,"Promoting basal levels of autophagy in the nervous system enhances longevity and oxidant resistance in adult Drosophila.",NULL,"Simonsen et al",NULL,2008,"Autophagy","4","176-184",NULL,NULL,NULL
0016,17912023,"Autophagy is required for dietary restriction-mediated life span extension in C. elegans.",NULL,"Jia and Levine",NULL,2007,"Autophagy","3","597-599",NULL,NULL,NULL
0017,12540856,"Telomere dysfunction and Atm deficiency compromises organ homeostasis and accelerates ageing.",NULL,"Wong et al",NULL,2003,"Nature","421","643-648",NULL,NULL,NULL
0018,12471266,"Rates of behavior and aging specified by mitochondrial function during development.",NULL,"Dillin et al",NULL,2002,"Science","298","2398-2401",NULL,NULL,NULL
