"id","gene_id","biblio_id","lifespan_effect","phenotype_description","longevity_influence","max_lifespan_change","max_lifespan_change_desc","avg_lifespan_change","avg_lifespan_change_desc","method","notes","hidden"
1,1,1,"decrease","Could be a sensor that couples energy levels and insulin-like signals to lifespan. Knockout mutants have a 12% shorter lifespan.","pro",NULL,"",12,"Lifespan is 12% lower.","Knockout","2009 entry; quantitative data extracted in 2012.",0
2,2,2,"increase","RNA interference increased mean lifespan by 30%.","anti",NULL,"",30,"Average lifespan is 30% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
3,3,3,"increase","Overexpression extends mean lifespan by 9% to 28%.","pro",NULL,"",28,"Average lifespan is 9-28% higher.","Overexpression","2009 entry; quantitative data extracted in 2012.",0
4,4,4,"increase","RNA interference leads to lifespan extension.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
5,5,5,"increase","RNA interference leads to lifespan extension.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
6,6,6,"increase","Knock out mice are resistant to cardiac stress, have an increased median lifespan of 30% and an increased maximal lifespan of 12%. They are also protected from age-related reduced bone density and susceptibility to fractures, and reduced cardiac function.","anti",12,"Maximum lifespan is 12% higher.",30,"Median lifespan is 30% higher.","Knockout","2009 entry; quantitative data extracted in 2012.",0
7,7,7,"increase","Knockout mutants have a 40-65% increase in mean lifespan and a 65-110% increase in maximum lifespan.","anti",110,"Maximum lifespan is 65-110% higher.",65,"Average lifespan is 40-65% higher.","Knockout","2009 entry; quantitative data extracted in 2012.",0
8,8,8,"increase","Deletion extends chronological lifespan.","anti",NULL,"",NULL,"","Deletion","2009 entry; quantitative data extracted in 2012.",0
9,9,9,"decrease","RNA interference decreased median lifespan by 10% in wild type animals, 20% in a daf-2 background and 44% in daf-2/daf-16 double mutants.","pro",NULL,"",10,"Median lifespan is 10% lower.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
10,10,5,"increase","RNA interference leads to lifespan extension.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
11,11,9,"decrease","RNA interference decreased median lifespan by 24% in wild type animals and 50% in a daf-2 background.","pro",NULL,"",24,"Median lifespan is 24% lower.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
12,12,2,"increase","RNA interference increased mean lifespan by 20%.","anti",NULL,"",20,"Average lifespan is 20% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
