"id_gene","symbol","name","organism","functions","phenotype","homologues","reference","pubmed","mouse_homologs","yeast_homologs","fly_homologs","worm_homologs","entrez_id","unigene","ensembl","uniprot","alias","hidden"
1,"aak-2","AMP-Activated Kinase","Caenorhabditis elegans","Energy sensor and signal transduction","Could be a sensor that couples energy levels and insulin-like signals to lifespan. Knockout mutants have a 12% shorter lifespan.","PRKAA2, PRKAA1","Apfeld et al., 2004",15574588,"Prkaa2","SNF1","SNF1A","aak-2",181727,"Cel.17479","T01C8.1","","",NULL
2,"aat-8","Amino Acid Transporter","Caenorhabditis elegans","Amino acid transporter","RNA interference increased mean lifespan by 30%.","SLC7A10","Kim et al., 2007",17608836,"","","","",185079,"Cel.13054","F28F9.4","","",NULL
3,"abu-11","Activated in Blocked Unfolded protein response","Caenorhabditis elegans","Involved in endoplasmic reticulum stress response to unfolded proteins","Overexpression extends mean lifespan by 9% to 28%.","KRTAP10-3","Viswanathan et al., 2005",16256736,"","","","",173404,"Cel.14499","T01D1.6","","",NULL
4,"acl-11","ACyLtransferase-like","Caenorhabditis elegans","Lysophosphatidic acid acyltransferase LPAAT and related acyltransferase","RNA interference leads to lifespan extension.","AGPAT5","Lee et al., 2003",12447374,"Agpat5","","","acl-11",185044,"Cel.24997","F28B3.9","","",NULL
5,"aco-2","ACOnitase","Caenorhabditis elegans","Required for embryonic viability, fertility, locomotion, and vulval morphogenesis","RNA interference leads to lifespan extension.","ACO2","Hamilton et al., 2005",15998808,"Aco2","ACO1","Acon","aco-2",176121,"Cel.17858","F54H12.1","","",NULL
6,"Adcy5","adenylate cyclase 5","Mus musculus","Synthesis of cAMP","Knock out mice are resistant to cardiac stress, have an increased median lifespan of 30% and an increased maximal lifespan of 12%. They are also protected from age-related reduced bone density and susceptibility to fractures, and reduced cardiac function.","ADCY5","Yan et al., 2007",17662940,"Adcy5","","CG32158","acy-4",224129,"Mm.41137","ENSMUSG00000022840","P84309","Ac5 AW121902",NULL
7,"age-1","AGEing alteration AGE-1, abnormal DAuer Formation DAF-23","Caenorhabditis elegans","Phosphoinositide-3-kinase","Knockout mutants have a 40-65% increase in mean lifespan and a 65-110% increase in maximum lifespan.","PIK3CA","Friedman and Johnson, 1988",8608934,"Pik3ca","","","age-1",174762,"Cel.18292","B0334.8","","",NULL
8,"AGP1","high-Affinity Glutamine Permease","Saccharomyces cerevisiae","Amino acid transport","Deletion extends chronological lifespan.","SLC7A4","Powers et al., 2006",16418483,"","","","",850333,"","YCL025C","","YCC5",NULL
9,"ain-1","ALG-1 INteracting protein","Caenorhabditis elegans","Cellular transport","RNA interference decreased median lifespan by 10% in wild type animals, 20% in a daf-2 background and 44% in daf-2/daf-16 double mutants.","DMKN","Samuelson et al., 2007",18006689,"","","","B0041.2, ain-1",181719,"Cel.6838","C06G1.4","","",NULL
10,"akt-1","AKT kinase family","Caenorhabditis elegans","Signal transduction","RNA interference leads to lifespan extension.","AKT1","Hamilton et al., 2005",15998808,"","","","",179424,"Cel.5036","C12D8.10","","",NULL
