"mapping","gene_symbol","gene_name","entrez_id","total","overexp","underexp","p_value","classification","ensembl","alias"
1,"Actg1","actin, gamma, cytoplasmic 1 Gene",11465,55,1,7,0.000215,"DD DS","ENSMUSG00000062825","E51 Actg Actl AL023024"
1,"Adh1","alcohol dehydrogenase 1 (class I) Gene",11522,42,12,0,0.00000000035,"DD DI","ENSMUSG00000074207","Adh-1 ADH-AA Adh-1e Adh-1t Adh-3e Adh1-e Adh1-t Adh1tl Adh3-e Adh-1-t AI194826"
1,"Alas2","aminolevulinic acid synthase 2, erythroid Gene",11656,58,3,8,0.0000428,"DD DS","ENSMUSG00000025270","ALAS ALASE ALAS-E Alas-2"
1,"Aldh1a1","aldehyde dehydrogenase family 1, subfamily A1 Gene",11668,56,9,2,0.0000105,"DD DI","ENSMUSG00000053279","E1 Ahd2 Ahd-2 Aldh1 Raldh1 Aldh1a2"
1,"Mat1a","methionine adenosyltransferase I, alpha Gene",11720,60,8,0,0.000128,"DD DI","ENSMUSG00000037798","Ams MAT SAMS MATA1 SAMS1 AdoMet AI046368"
1,"Aqp6","aquaporin 6 Gene",11831,23,6,2,0.0000177,"DD DI","ENSMUSG00000043144","AI790337"
1,"Aqp8","aquaporin 8 Gene",11833,34,1,6,0.0000956,"DD DS","ENSMUSG00000030762","AQP-8 AI255744"
1,"Arntl","aryl hydrocarbon receptor nuclear translocator-like Gene",11865,63,3,11,0.000000141,"DD DS","ENSMUSG00000055116","MOP3 Arnt3 Bmal1 BMAL1b bHLHe5 bmal1b'"
1,"C4bp","complement component 4 binding protein Gene",12269,20,0,5,0.000064,"DD DS","","C4bpa AI195242"
1,"C9","complement component 9 Gene",12279,36,1,7,0.0000128,"DD DS","ENSMUSG00000022149",""
1,"Car3","carbonic anhydrase 3 Gene",12350,49,0,11,0.00000000886,"DD DS","ENSMUSG00000027559","Ca3 Car-3 BB219044"
1,"Nr1i3","nuclear receptor subfamily 1, group I, member 3 Gene",12355,40,9,0,0.000000543,"DD DI","ENSMUSG00000005677","CAR MB67 Care2 ESTM32 AA209988 AI551208 CAR-beta"
1,"Serpinh1","serine (or cysteine) peptidase inhibitor, clade H, member 1 Gene",12406,63,4,8,0.0000783,"DD DS","ENSMUSG00000070436","J6 Cbp1 Cbp2 gp46 Hsp47 BERF-1 Serpinh2"
1,"Cbr1","carbonyl reductase 1 Gene",12408,38,7,0,0.0000404,"DD DI","ENSMUSG00000051483","CR Cbr AW261796"
1,"Cldn1","claudin 1 Gene",12737,34,1,6,0.0000956,"DD DS","ENSMUSG00000022512","AI596271"
1,"Col15a1","collagen, type XV, alpha 1 Gene",12819,32,1,7,0.00000558,"DD DS","ENSMUSG00000028339",""
1,"Col3a1","collagen, type III, alpha 1 Gene",12825,59,1,7,0.000335,"DD DS","ENSMUSG00000026043","Ms10w Col3a-1 MMS10-W AW550625 mKIAA4231"
0,"Comt","catechol-O-methyltransferase 1 Gene",12846,55,2,7,0.000215,"DD DS","ENSMUSG00000000326","Comt1 D16Wsu103e"
1,"Cpt1a","carnitine palmitoyltransferase 1a, liver Gene",12894,53,8,1,0.0000516,"DD DI","ENSMUSG00000024900","CPTI Cpt1 C730027G07"
1,"Cry1","cryptochrome 1 (photolyase-like) Gene",12952,49,8,0,0.0000287,"DD DI","ENSMUSG00000020038","Phll1 AU020726 AU021000"
1,"Crym","crystallin, mu Gene",12971,15,4,0,0.000437,"DD DI","ENSMUSG00000030905",""
1,"Cyp2b13","cytochrome P450, family 2, subfamily b, polypeptide 13 Gene",13089,23,6,1,0.0000177,"DD DI","ENSMUSG00000040583",""
1,"Cyp2e1","cytochrome P450, family 2, subfamily e, polypeptide 1 Gene",13106,39,7,0,0.0000482,"DD DI","ENSMUSG00000025479","Cyp2e"
1,"Cyp2f2","cytochrome P450, family 2, subfamily f, polypeptide 2 Gene",13107,37,0,6,0.000156,"DD DS","ENSMUSG00000052974","Cyp2f"
1,"Cyp2j5","cytochrome P450, family 2, subfamily j, polypeptide 5 Gene",13109,25,0,8,0.0000000464,"DD DS","ENSMUSG00000052520",""
1,"Cyp2j6","cytochrome P450, family 2, subfamily j, polypeptide 6 Gene",13110,30,9,0,0.0000000356,"DD DI","ENSMUSG00000052914",""
1,"Cyp4a14","cytochrome P450, family 4, subfamily a, polypeptide 14 Gene",13119,32,8,0,0.00000098,"DD DI","ENSMUSG00000028715","AI314743"
1,"Cyp7a1","cytochrome P450, family 7, subfamily a, polypeptide 1 Gene",13122,39,9,2,0.00000043,"DD DI","ENSMUSG00000028240",""
1,"Dbp","D site albumin promoter binding protein Gene",13170,34,10,4,0.00000000763,"DD DI","ENSMUSG00000059824",""
1,"Dhcr7","7-dehydrocholesterol reductase Gene",13360,49,0,10,0.000000111,"DD DS","ENSMUSG00000058454","AA409147"
1,"Enpep","glutamyl aminopeptidase Gene",13809,25,5,0,0.000351,"DD DI","ENSMUSG00000028024","APA Ly51 Ly-51 Bp-1/6C3 6030431M22Rik"
1,"Ctgf","connective tissue growth factor Gene",14219,35,8,0,0.00000205,"DD DI","ENSMUSG00000019997","Ccn2 Hcs24 Fisp12 fisp-12"
1,"Fkbp5","FK506 binding protein 5 Gene",14229,59,11,1,0.000000234,"DD DI","ENSMUSG00000024222","Dit1 FKBP-5 FKBP51 D17Ertd592e"
1,"Lpin1","lipin 1 Gene",14245,29,6,1,0.000073,"DD DI","ENSMUSG00000020593","fld Lipin1 Kiaa0188 mKIAA0188 4631420P06"
1,"Fmo3","flavin containing monooxygenase 3 Gene",14262,29,8,0,0.000000428,"DD DI","ENSMUSG00000026691","AW111792"
1,"Fzd1","frizzled homolog 1 (Drosophila) Gene",14362,38,6,2,0.00035,"DD DI","ENSMUSG00000044674","Fz1 FZ-1 AW227548"
1,"G0s2","G0/G1 switch gene 2 Gene",14373,33,3,7,0.00000695,"DD DS","ENSMUSG00000009633","AI255151 AV006465"
