entrez_id,gene_symbol,gene_name,description,chr_loc,chr_start,chr_end,orientation,accession,unigene,omim,ensembl,hprd,species,alias,homologene
47,ACLY,ATP citrate lyase,"ATP citrate lyase is the primary enzyme responsible for the synthesis of cytosolic acetyl-CoA in many tissues. The enzyme is a tetramer (relative molecular weight approximately 440,000) of apparently identical subunits. It catalyzes the formation of acetyl-CoA and oxaloacetate from citrate and CoA with a concomitant hydrolysis of ATP to ADP and phosphate. The product, acetyl-CoA, serves several important biosynthetic pathways, including lipogenesis and cholesterogenesis. In nervous tissue, ATP citrate-lyase may be involved in the biosynthesis of acetylcholine. Multiple transcript variants encoding distinct isoforms have been identified for this gene. [provided by RefSeq, Dec 2014]",17q21.2,41866915,41930541,-1,NG_047031,387567,108728,ENSG00000131473,,human,ACL ATPCL CLATP,
183,AGT,angiotensinogen,"The protein encoded by this gene, pre-angiotensinogen or angiotensinogen precursor, is expressed in the liver and is cleaved by the enzyme renin in response to lowered blood pressure. The resulting product, angiotensin I, is then cleaved by angiotensin converting enzyme (ACE) to generate the physiologically active enzyme angiotensin II. The protein is involved in maintaining blood pressure and in the pathogenesis of essential hypertension and preeclampsia. Mutations in this gene are associated with susceptibility to essential hypertension, and can cause renal tubular dysgenesis, a severe disorder of renal tubular development. Defects in this gene have also been associated with non-familial structural atrial fibrillation, and inflammatory bowel disease. [provided by RefSeq, Jul 2008]",1q42.2,230702522,230714589,-1,NG_008836,19383,106150,ENSG00000135744,,human,ANHU hFLT1 SERPINA8,14
207,AKT1,AKT serine/threonine kinase 1,"The serine-threonine protein kinase encoded by the AKT1 gene is catalytically inactive in serum-starved primary and immortalized fibroblasts. AKT1 and the related AKT2 are activated by platelet-derived growth factor. The activation is rapid and specific, and it is abrogated by mutations in the pleckstrin homology domain of AKT1. It was shown that the activation occurs through phosphatidylinositol 3-kinase. In the developing nervous system AKT is a critical mediator of growth factor-induced neuronal survival. Survival factors can suppress apoptosis in a transcription-independent manner by activating the serine/threonine kinase AKT1, which then phosphorylates and inactivates components of the apoptotic machinery. Mutations in this gene have been associated with the Proteus syndrome. Multiple alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Jul 2011]",14q32.33,104769348,104795742,-1,NG_012188,525622,164730,ENSG00000142208,,human,AKT PKB RAC CWS6 PRKBA PKB-ALPHA RAC-ALPHA,3785
231,AKR1B1,aldo-keto reductase family 1 member B,"This gene encodes a member of the aldo/keto reductase superfamily, which consists of more than 40 known enzymes and proteins. This member catalyzes the reduction of a number of aldehydes, including the aldehyde form of glucose, and is thereby implicated in the development of diabetic complications by catalyzing the reduction of glucose to sorbitol. Multiple pseudogenes have been identified for this gene. The nomenclature system used by the HUGO Gene Nomenclature Committee to define human aldo-keto reductase family members is known to differ from that used by the Mouse Genome Informatics database. [provided by RefSeq, Feb 2009]",7q33,134442351,134459135,-1,,521212,103880,ENSG00000085662,,human,AR ADR ALR2 ALDR1,133743
247,ALOX15B,"arachidonate 15-lipoxygenase, type B","This gene encodes a member of the lipoxygenase family of structurally related nonheme iron dioxygenases involved in the production of fatty acid hydroperoxides. The encoded protein converts arachidonic acid exclusively to 15S-hydroperoxyeicosatetraenoic acid, while metabolizing linoleic acid less effectively. This gene is located in a cluster of related genes and a pseudogene that spans approximately 100 kilobases on the short arm of chromosome 17. Alternatively spliced transcript variants encoding different isoforms have been described. [provided by RefSeq, Jul 2008]",17p13.1,8039039,8049133,1,NG_029482,111256,603697,ENSG00000179593,,human,15-LOX-2,886
367,AR,androgen receptor,"The androgen receptor gene is more than 90 kb long and codes for a protein that has 3 major functional domains: the N-terminal domain, DNA-binding domain, and androgen-binding domain. The protein functions as a steroid-hormone activated transcription factor. Upon binding the hormone ligand, the receptor dissociates from accessory proteins, translocates into the nucleus, dimerizes, and then stimulates transcription of androgen responsive genes. This gene contains 2 polymorphic trinucleotide repeat segments that encode polyglutamine and polyglycine tracts in the N-terminal transactivation domain of its protein. Expansion of the polyglutamine tract from the normal 9-34 repeats to the pathogenic 38-62 repeats causes spinal bulbar muscular atrophy (SBMA, also known as Kennedy's disease). Mutations in this gene are also associated with complete androgen insensitivity (CAIS). Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jan 2017]",Xq12,67544031,67730618,1,NG_009014,76704,313700,ENSG00000169083,,human,KD AIS AR8 TFM DHTR SBMA HYSP1 NR3C4 SMAX1 HUMARA,28
444,ASPH,aspartate beta-hydroxylase,"This gene is thought to play an important role in calcium homeostasis. The gene is expressed from two promoters and undergoes extensive alternative splicing. The encoded set of proteins share varying amounts of overlap near their N-termini but have substantial variations in their C-terminal domains resulting in distinct functional properties. The longest isoforms (a and f) include a C-terminal Aspartyl/Asparaginyl beta-hydroxylase domain that hydroxylates aspartic acid or asparagine residues in the epidermal growth factor (EGF)-like domains of some proteins, including protein C, coagulation factors VII, IX, and X, and the complement factors C1R and C1S. Other isoforms differ primarily in the C-terminal sequence and lack the hydroxylase domain, and some have been localized to the endoplasmic and sarcoplasmic reticulum. Some of these isoforms are found in complexes with calsequestrin, triadin, and the ryanodine receptor, and have been shown to regulate calcium release from the sarcoplasmic reticulum. Some isoforms have been implicated in metastasis. [provided by RefSeq, Sep 2009]",8q12.3,61500555,61714639,-1,NG_013210,332422,600582,ENSG00000198363,,human,AAH BAH HAAH JCTN FDLAB junctin CASQ2BP1,20910
472,ATM,ATM serine/threonine kinase,"The protein encoded by this gene belongs to the PI3/PI4-kinase family. This protein is an important cell cycle checkpoint kinase that phosphorylates; thus, it functions as a regulator of a wide variety of downstream proteins, including tumor suppressor proteins p53 and BRCA1, checkpoint kinase CHK2, checkpoint proteins RAD17 and RAD9, and DNA repair protein NBS1. This protein and the closely related kinase ATR are thought to be master controllers of cell cycle checkpoint signaling pathways that are required for cell response to DNA damage and for genome stability. Mutations in this gene are associated with ataxia telangiectasia, an autosomal recessive disorder. [provided by RefSeq, Aug 2010]",11q22.3,108222483,108369101,1,NG_009830,367437,607585,ENSG00000149311,,human,AT1 ATA ATC ATD ATE ATDC TEL1 TELO1,30952
558,AXL,AXL receptor tyrosine kinase,"The protein encoded by this gene is a member of the Tyro3-Axl-Mer (TAM) receptor tyrosine kinase subfamily. The encoded protein possesses an extracellular domain which is composed of two immunoglobulin-like motifs at the N-terminal, followed by two fibronectin type-III motifs. It transduces signals from the extracellular matrix into the cytoplasm by binding to the vitamin K-dependent protein growth arrest-specific 6 (Gas6). This gene may be involved in several cellular functions including growth, migration, aggregation and anti-inflammation in multiple cell types. Alternative splicing results in multiple transcript variants of this gene. [provided by RefSeq, Jul 2013]",19q13.2,41219198,41261766,1,,590970,109135,ENSG00000167601,,human,ARK UFO JTK11 Tyro7,7583
595,CCND1,cyclin D1,"The protein encoded by this gene belongs to the highly conserved cyclin family, whose members are characterized by a dramatic periodicity in protein abundance throughout the cell cycle. Cyclins function as regulators of CDK kinases. Different cyclins exhibit distinct expression and degradation patterns which contribute to the temporal coordination of each mitotic event. This cyclin forms a complex with and functions as a regulatory subunit of CDK4 or CDK6, whose activity is required for cell cycle G1/S transition. This protein has been shown to interact with tumor suppressor protein Rb and the expression of this gene is regulated positively by Rb. Mutations, amplification and overexpression of this gene, which alters cell cycle progression, are observed frequently in a variety of tumors and may contribute to tumorigenesis. [provided by RefSeq, Jul 2008]",11q13.3,69641104,69654473,1,NG_007375,523852,168461,ENSG00000110092,,human,BCL1 PRAD1 U21B31 D11S287E,1334
