id,hagrid,why,band,location_start,location_end,orientation,phenotype
1,209,functional,2p13-p12,69915041,69942944,1,MXD1 is involved in apoptosis. It forms with |MAX| a transcriptional repressor and might antagonize |MYC| function [886]. There is no evidence directly linking MXD1 to human ageing.
2,199,functional,11q24.1,123057492,123062335,-1,"Also called hsc70 and hsp73, HSPA8 is a constitutively expressed chaperone. Age-related changes in stress response have been reported in rats, though HSPA8 levels do not appear to change with age [915]. Whether HSPA8 plays any role in human ageing remains to be determined."
3,115,putative,10q24.1,88990531,89015785,1,"FAS encodes multiple transcripts involved in apoptosis and development. It is also related to cancer progression. The expression level of FAS changes during ageing [937], and there are some results correlating FAS with age-related changes [1170]. Nonetheless, polymorphisms in human FAS have not been associated with human longevity [935]."
4,90,putative,10q24-q25,110226004,110287365,1,"MXI1 is an antagonist of |MYC| in that it competes with |MYC| for |MAX| [945]. Mice lacking MXI1 exhibit progressive, multisystem abnormalities and increased susceptibility to tumorigenesis. A role for MXI1 in murine ageing has thus been suggested [887]. Mutations in the human MXI1 gene have been linked to cancer [944]. Additional, more detailed, studies are necessary to determine whether MXI1 is related to human ageing."
5,118,downstream,19q13.3,50384323,50418018,1,"POLD1 is mostly involved in DNA synthesis, and probably it also functions in DNA repair [920]. Mice with a proofreading-deficient version of POLD1 have a higher cancer incidence [917]. POLD1 has also been associated with |WRN| [922]. There is no direct evidence linking POLD1 to human ageing, but it should be considered a suspect gene."
6,96,"cell,downstream",15q22,73994673,74047814,1,"The PML gene encodes a number of transcripts and can function as a transcription factor. It is likely oncogenic and may act as a tumour suppressor [518]. PML also appears to control cell proliferation and cellular senescence [517], though its role, if any, in human ageing is unknown."
7,77,putative,6p12,43770209,43786486,1,"VEGFA is a growth factor that been widely implicated in age-related changes [1274], tumorigenesis, and neurogenesis [469]. Mutations in the human VEGFA gene have been associated with type 2 diabetes [1674] and atherosclerosis [1675]. Inactivation of VEGFA in mice results in embryonic lethality [470]. It is unclear whether VEGFA is directly involved in ageing, yet it remains a possible player."
8,165,downstream,8p21.1,27311482,27459391,1,"Involved in stress response and signal transduction, PTK2B is an important player in a variety of processes including the regulation of ion channels by calcium and MAPK signalling [769]. PTK2B is a focal adhesion kinase (FAK), which could be involved in cellular senescence and apoptosis [1716]. Its role, if any, in human ageing is unknown, but PTK2B could potentially be involved in downstream signalling cascades related to ageing."
9,174,model,5q35,180233595,180292071,-1,"Also called JNK2, MAPK9 encodes many transcripts and is an important player in stress response. In invertebrates, there is evidence linking JNK signalling to ageing. Fruit flies with mutations that augment JNK signalling live longer [212]. Overexpression of JNK in roundworms also increases lifespan [60]. Mice without |MAPK8| and MAPK9 die at embryonic stages. MAPK9-null mice develop normally [786], but are defective in peripheral T-cell activation [1721]. Further research is needed to determine whether MAPK9 is related to human ageing."
10,120,cell,13q14.2,48303747,48481890,1,"RB1 is a tumour suppressor that acts as a transcriptional regulator to control cell cycle progression.  Mice with disrupted RB1 are not viable [605]. Mutations in the human RB1 gene have been associated with cancer [991]. Clearly, RB1 plays a role in cellular senescence and oncogenesis [95], but it is unknown whether it influences human ageing."
