id,species,group,identifier,symbol,entrez_id,percentage,score,unique_grouping
1,Homo sapiens,1024,ENSP00000230882,GHR,2690,100%,1,4843-taurus:sapiens
2,Bos taurus,147,ENSBTAP00000016891,SLIB_BOVIN,281191,100%,1,15130-taurus:sapiens
3,Homo sapiens,147,ENSP00000362716,GHRH,2691,100%,1,15130-taurus:sapiens
4,Bos taurus,598,ENSBTAP00000012033,F1MHR1_BOV,282315,100%,1,9522-taurus:sapiens
5,Homo sapiens,598,ENSP00000342931,POU1F1,5449,100%,1,9522-taurus:sapiens
6,Bos taurus,357,ENSBTAP00000009680,A7TZP9_BOV,282563,100%,1,12998-taurus:sapiens
7,Homo sapiens,357,ENSP00000311290,PROP1,5626,100%,1,12998-taurus:sapiens
8,Bos taurus,629,ENSBTAP00000001420,P53_BOVIN,281542,100%,1,9114-taurus:sapiens
9,Homo sapiens,629,ENSP00000269305,TP53,7157,100%,1,9114-taurus:sapiens
10,Bos taurus,1525,ENSBTAP00000016685,TERT,518884,100%,1,2362-taurus:sapiens
11,Homo sapiens,1525,ENSP00000309572,TERT,7015,100%,1,2362-taurus:sapiens
12,Bos taurus,5489,ENSBTAP00000039884,ATM,526824,100%,1,69-taurus:sapiens
13,Homo sapiens,5489,ENSP00000278616,ATM,472,100%,1,69-taurus:sapiens
14,Bos taurus,710,ENSBTAP00000007806,UROK_BOVIN,281408,100%,1,8063-taurus:sapiens
15,Homo sapiens,710,ENSP00000361850,PLAU,5328,100%,1,8063-taurus:sapiens
16,Homo sapiens,1446,ENSP00000375809,ERCC2,2068,100%,1,2639-taurus:sapiens
17,Homo sapiens,683,ENSP00000265038,ERCC8,1161,100%,1,8397-taurus:sapiens
18,Homo sapiens,2041,ENSP00000298139,WRN,7486,100%,1,1185-taurus:sapiens
19,Bos taurus,1243,ENSBTAP00000023373,F1MYG5_BOV,404144,100%,1,3497-taurus:sapiens
20,Homo sapiens,1243,ENSP00000357283,LMNA,4000,100%,1,3497-taurus:sapiens
21,Bos taurus,2347,ENSBTAP00000028690,IGF1R_BOVI,281848,100%,1,832-taurus:sapiens
22,Homo sapiens,2347,ENSP00000268035,IGF1R,3480,100%,1,832-taurus:sapiens
23,Bos taurus,207,ENSBTAP00000041860,THIO_BOVIN,280950,100%,1,14637-taurus:sapiens
24,Homo sapiens,207,ENSP00000363641,TXN,7295,100%,1,14637-taurus:sapiens
25,Bos taurus,1894,ENSBTAP00000018586,KL,784635,100%,1,1459-taurus:sapiens
26,Homo sapiens,1894,ENSP00000369442,KL,9365,100%,1,1459-taurus:sapiens
27,Bos taurus,1189,ENSBTAP00000002653,PTPN11,533590,100%,1,3759-taurus:sapiens
28,Homo sapiens,1189,ENSP00000376375,PTPN11,5781,100%,1,3759-taurus:sapiens
29,Bos taurus,1667,ENSBTAP00000007904,NFKB2,526392,100%,1,1960-taurus:sapiens
30,Homo sapiens,1667,ENSP00000358983,NFKB2,4791,100%,1,1960-taurus:sapiens
31,Bos taurus,1557,ENSBTAP00000012497,STAT5B,789476,100%,1,2258-taurus:sapiens
32,Homo sapiens,1557,ENSP00000293328,STAT5B,6777,100%,1,2258-taurus:sapiens
33,Bos taurus,1552,ENSBTAP00000028687,STAT3,787429,100%,1,2275-taurus:sapiens
34,Homo sapiens,1552,ENSP00000264657,STAT3,6774,100%,1,2275-taurus:sapiens
35,Bos taurus,1544,ENSBTAP00000034715,STAT5A,282375,100%,1,2292-taurus:sapiens
36,Homo sapiens,1544,ENSP00000341208,STAT5A,6776,100%,1,2292-taurus:sapiens
37,Bos taurus,260,ENSBTAP00000022885,SOMA_BOVIN,100335674,100%,1,14099-taurus:sapiens
38,Homo sapiens,260,ENSP00000312673,GH1,2688,99%,1,14099-taurus:sapiens
39,Homo sapiens,260,ENSP00000376623,CSH2,1443,NULL,0.652,14099-taurus:sapiens
40,Homo sapiens,260,ENSP00000309524,CSHL1,1444,NULL,0.461,14099-taurus:sapiens
41,Homo sapiens,260,ENSP00000333157,GH2,2689,NULL,0.09,14099-taurus:sapiens
42,Bos taurus,705,ENSBTAP00000026608,IL7R,521554,100%,1,8123-taurus:sapiens
43,Homo sapiens,705,ENSP00000306157,IL7R,3575,100%,1,8123-taurus:sapiens
44,Bos taurus,265,ENSBTAP00000014713,IGF1_BOVIN,281239,100%,1,14054-taurus:sapiens
45,Homo sapiens,265,ENSP00000302665,IGF1,3479,100%,1,14054-taurus:sapiens
46,Homo sapiens,300,ENSP00000338297,IGF2,3481,100%,1,13666-taurus:sapiens
47,Bos taurus,455,ENSBTAP00000009796,NGF_BOVIN,281350,100%,1,11651-taurus:sapiens
48,Homo sapiens,455,ENSP00000358525,NGF,4803,100%,1,11651-taurus:sapiens
49,Homo sapiens,2146,ENSP00000304895,IRS1,3667,100%,1,1038-taurus:sapiens
50,Bos taurus,789,ENSBTAP00000008678,A6QQN2_BOV,508658,100%,1,7103-taurus:sapiens
51,Homo sapiens,789,ENSP00000360683,PTPN1,5770,100%,1,7103-taurus:sapiens
52,Bos taurus,1450,ENSBTAP00000049448,IRS2,100300012,100%,1,2623-taurus:sapiens
53,Homo sapiens,1450,ENSP00000365016,IRS2,8660,100%,1,2623-taurus:sapiens
54,Homo sapiens,874,ENSP00000270202,AKT1,207,100%,1,6183-taurus:sapiens
55,Bos taurus,2102,ENSBTAP00000009083,PIK3CB,517948,100%,1,1096-taurus:sapiens
56,Homo sapiens,2102,ENSP00000289153,PIK3CB,5291,100%,1,1096-taurus:sapiens
57,Bos taurus,854,ENSBTAP00000027940,A5PJV7_BOV,353110,100%,1,6395-taurus:sapiens
58,Homo sapiens,854,ENSP00000172229,NGFR,4804,100%,1,6395-taurus:sapiens
59,Bos taurus,812,ENSBTAP00000011066,MYC_BOVIN,511077,100%,1,6826-taurus:sapiens
60,Homo sapiens,812,ENSP00000367207,MYC,4609,100%,1,6826-taurus:sapiens
61,Bos taurus,2205,ENSBTAP00000015445,EGFR,407217,100%,1,986-taurus:sapiens
62,Homo sapiens,2205,ENSP00000275493,EGFR,1956,100%,1,986-taurus:sapiens
63,Bos taurus,2428,ENSBTAP00000029056,ERBB2,505709,100%,1,755-taurus:sapiens
64,Homo sapiens,2428,ENSP00000269571,ERBB2,2064,100%,1,755-taurus:sapiens
65,Bos taurus,2338,ENSBTAP00000016858,Q8MII7_BOV,408017,100%,1,843-taurus:sapiens
66,Homo sapiens,2338,ENSP00000303830,INSR,3643,100%,1,843-taurus:sapiens
67,Bos taurus,866,ENSBTAP00000044846,A3KN34_BOV,281361,100%,1,6272-taurus:sapiens
68,Homo sapiens,866,ENSP00000343395,NRG1,3084,100%,1,6272-taurus:sapiens
69,Bos taurus,134,ENSBTAP00000027819,IL2_BOVIN,280822,100%,1,15207-taurus:sapiens
70,Homo sapiens,134,ENSP00000226730,IL2,3558,100%,1,15207-taurus:sapiens
71,Bos taurus,379,ENSBTAP00000028919,Q58D48_BOV,788643,100%,1,12671-taurus:sapiens
72,Homo sapiens,379,ENSP00000330382,PDGFB,5155,100%,1,12671-taurus:sapiens
73,Bos taurus,738,ENSBTAP00000005660,FOS_BOVIN,280795,100%,1,7702-taurus:sapiens
74,Homo sapiens,738,ENSP00000306245,FOS,2353,100%,1,7702-taurus:sapiens
75,Homo sapiens,1458,ENSP00000261799,PDGFRB,5159,100%,1,2598-taurus:sapiens
