"id","gene_symbol","gene_id","species_name","pubmed","description","entrez_id","gene_name","function","ensembl","alias"
1,"SIR2","YDL042C","Saccharomyces cerevisiae","10521401,16286010,11000115,12213553,15328540","Deletion of SIR2 shortens replicative lifespan by approximately 30%. Integration of a second copy of SIR2 into the wild-type strain leads to an extension of replicative lifespan by around 35% in the W303R strain [200]. 0.5% glucose restriction fails to increase the short lifespan of sir2Delta [2260]. 0.1% glucose restriction extends replicative lifespan of sir2 mutants [2552]. 0.5, 0.1 and 0.05% glucose restriction are able to increase lifespan of sir2;fob1 double mutant to a greater extent than in wild-type. 0.05% glucose restriction further extends replicative lifespan of SIR2 overexpression mutant [2554]. Sir2 blocks extreme chronological lifespan extension as the lack of Sir2 along with DR and/or mutations in the yeast AKT homolog, |Sch9|, or Ras pathways causes a dramatic chronological lifespan extension (6-fold) [1564]. ",851520,"Silent Information Regulator 2","Sir2 is a NAD(+)-dependent protein deacetylase which promotes transcriptional silincing at HM loci, telomeres and rDNA and represses recombination between rDNA repeats.; Sir2p; Conserved NAD+ dependent histone deacetylase of the Sirtuin family involved in regulation of lifespan; plays roles in silencing at HML, HMR, telomeres, and the rDNA locus; negatively regulates initiation of DNA replication [Source:SGD;Acc:S000002200] [Ensembl]","YDL042C","MAR1"
2,"CDC25","YLR310C","Saccharomyces cerevisiae","11000115","The CDC25-10 allele extends mean and maximum replicative lifespan by 34% and 18%, respectively, at 30 degree Celsius. cdc25-10 mutants have an extended replicative lifespan under ad libitum. Growth on 0.5% glucose restriction does not further extend replicative lifespan of cdc25-10 mutants. CDC25 null mutant is not viable. CDC25 appears to act in the same genetic pathway as |SIR2| and |NPT1| and is suggested to be a genetic model of DR [2260].",851019,"Cell Division Cycle 25","Cdc25p; Membrane bound guanine nucleotide exchange factor (GEF or GDP-release factor); indirectly regulates adenylate cyclase through activation of Ras1p and Ras2p by stimulating the exchange of GDP for GTP; required for progression through G1 [Source:SGD;Acc:S000004301] [Ensembl]","YLR310C","CTN1"
3,"HAP4","YKL109W","Saccharomyces cerevisiae","12124627,20178842","Overexpression of HAP4 increases replicative lifespan, but is non-additive with 0.5% glucose restriction in lifespan extension. Lifespan extension by HAP4 overexpression requires |SIR2| [2274]. HAP4 deletion suppresses replicative lifespan extension to 30% and 33% on 0.1% glucose and on elimination of non-essential amino acids, respectively [2638]. ",853751,"Heme Activator Protein 4","Hap4p; Subunit of the heme-activated, glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex, a transcriptional activator and global regulator of respiratory gene expression; provides the principal activation function of the complex [Source:SGD;Acc:S000001592] [Ensembl]","YKL109W",""
4,"PNC1","YGL037C","Saccharomyces cerevisiae","14724176,12736687","Cells with 5 copies of PNC1 have a 70% longer replicative lifespan which is cancelled out by |SIR2| deletion. PNC1 is upregulated under glucose DR [2499]. Deletion of PNC1 shortens replicative lifespan approximately by 10% [2499] and largely prevents replicative lifespan extension of 0.5% glucose restriction. 0.5% glucose restriction slightly extends median replicative lifespan (by 10 - 15%) but not maximum replicative lifespan in pnc1Delta [2329]. Increased expression of PNC1 is both necessary and sufficient for replicative lifespan extension by DR and low-intensity stress. DR does not further increase the lifespan of the 5XPNC1 strain [2499]. ",852846,"Pyrazinamidase/NiCotinamidase 1","Pnc1p; Nicotinamidase that converts nicotinamide to nicotinic acid as part of the NAD(+) salvage pathway, required for life span extension by calorie restriction; PNC1 expression responds to all known stimuli that extend replicative life span [Source:SGD;Acc:S000003005] [Ensembl]","YGL037C",""
5,"CYT1","YOR065W","Saccharomyces cerevisiae","12124627,14724176,16311627","Deletion of CYT1 decreases RLS and cancels RLS extension of HAP4 overexpression [2274]. Initially, it was shown that deletion of CYT1 also prevents life span extension by glucose DR [2329]. But later it was shown that both 0.5 or 0.05 % glucose DR increases life span of cytDelta cells [2553].",854231,"Cyt1p",NULL,"YOR065W","CTC1 YOR29-16"
6,"SCH9","YHR205W","Saccharomyces cerevisiae","16293764,12586694,11292860,18340043,18225956","Transposon-mediated mutagenesis of SCH9 increases resistance to oxidants and thermal stress as well as extends chronological lifespan by 30%. SCH9 deletion increases chronological lifespan by up to threefold. [2346]. Deletion of SCH9 also increases replicative lifespan by 18% (in DBY746) [2271]. SCH9 deletion increases the replicative lifespan by 40% in the alpha strain [2504]. The extended lifespan of SCH9 deletion mutants is not further extended by low glucose DR and is independent of |Sir2| [1570]. Water restriction further increases chronological lifespan of sch9Delta [2556]. ",856612,"serine/threonine protein kinase SCH9","","","HRM2 KOM1"
196,"Mdh2","","Drosophila melanogaster","26378219
","Wild type flies and flies containing mutant Mdh2 (56% activity compared to the wild type) were subjected to dietary restriction. Both wild type and mutant flies showed a significant increase in lifespan under dietary restriction compared to normal conditions. However, flies with mutant Mdh2 had a significantly longer lifespan than the wild type, demonstrating that decreased Mdh2 activity enhances the effects of dietary restriction. ",42185,"Malate dehydrogenase 2","","","CG 7998 CG7998 Dmel\CG7998 l(3)psg7 Mdh MDH-2 mdh2 mMdh psg7"
7,"NPT1","YOR209C","Saccharomyces cerevisiae","11000115,17110466,17482543,11884393","Increased dosage of NPT1 increases |SIR2|-dependent silencing and extends replicative lifespan by up to 60%. 0.5% glucose restriction does not significantly further increase replicative lifespan of NPT1 overexpression [2335]. NPT1 deletion decreases replicative lifespan by 50% [2550] as well as chronological lifespan [2510]. Deletion of NPT1 shortens the lifespan in W303R. Replicative lifespan extension of cdc25-10 mutation (assumed to act as a genetic DR-mimetic) is cancelled out by NPT1 deletion [2260].",854384,"Nicotinate PhosphoribosylTransferase 1","Npt1p; Nicotinate phosphoribosyltransferase, acts in the salvage pathway of NAD+ biosynthesis; required for silencing at rDNA and telomeres and has a role in silencing at mating-type loci; localized to the nucleus [Source:SGD;Acc:S000005735] [Ensembl]","YOR209C",""
9,"RPD3","YNL330C","Saccharomyces cerevisiae","10512855,12213553","Deletion of the histone deacetylase gene RPD3 extends lifespan by 41%, independently of an intact Sir silencing complex (in the short-lived YSK661 strain) [203]. Deletion of RPD3 extends replicative lifespan and there was no additive effect by neither 0.1% glucose nor amino acid restriction [2552].     ",855386,"Reduced Potassium Dependency 3","Rpd3p; Histone deacetylase; regulates transcription, silencing, and other processes by influencing chromatin remodeling; forms at least two different complexes which have distinct functions and members [Source:SGD;Acc:S000005274] [Ensembl]","YNL330C","MOF6 REC3 SDI2 SDS6"
10,"HST2","YPL015C","Saccharomyces cerevisiae","16051752,17129213","HST2 overexpression extends replicative lifespan. 0.5% glucose restriction does not increase lifespan of sir2;fob1;hst2 triple mutants [2309]. DR increases lifespan of all four sir2;fob1;hstX(X = sirtuin) triple mutants [2558].",856092,"Homolog of SIR Two (SIR2) 2","Hst2p; Cytoplasmic member of the silencing information regulator 2 (Sir2) family of NAD(+)-dependent protein deacetylases; modulates nucleolar (rDNA) and telomeric silencing; possesses NAD(+)-dependent histone deacetylase activity in vitro [Source:SGD;Acc:S000005936] [Ensembl]","YPL015C",""
11,"TOR1","YJR066W","Saccharomyces cerevisiae","16293764,16418483,18225956,21076178","TOR1 deletion extends mean and maximum replicative lifespan by 21 and 25% [1570] as well as chronological lifespan [2591]. This lifespan extension is independent of |SIR2| [1570]. Deletion of TOR1 extends replicative lifespan as well as chronological lifespan [2591] and glucose restriction fails to further extend the long replicative lifespan of tor1Delta [1570] [2238] [2556]. Water starvation (extreme DR) further extends chronological lifespan of tor1 mutants [2556].",853529,"Target Of Rapamycin 1","Tor1p; PIK-related protein kinase and rapamycin target; subunit of TORC1, a complex that controls growth in response to nutrients by regulating translation, transcription, ribosome biogenesis, nutrient transport and autophagy; involved in meiosis [Source:SGD;Acc:S000003827] [Ensembl]","YJR066W","DRR1"
12,"LAT1","YNL071W","Saccharomyces cerevisiae","17200108","LAT1 is suggested to play a role in lifespan extension of DR. Deleting LAT1 abolishes replicative lifespan extension induced by 0.5% and 0.05% glucose restriction. In contrast, overexpressing Lat1 extends replicative lifespan, and this lifespan extension was not further increased by 0.5% glucose restriction. Similar to DR, replicative lifespan extension by LAT1 overexpression largely requires mitochondrial respiration [2317]. Interestingly, LAT1 overexpression does not require the Sir2 family to extend lifespan. Lat1 is also a limiting longevity factor in non-dividing cells in that overexpressing LAT1 extends cell survival during prolonged culture at stationary phase. ",855653,"dihydrolipoyllysine-residue acetyltransferase","","","ODP2 PDA2"
