id_go,hagrid,go,name,type
27774,1,5886,plasma membrane,C
27773,1,5622,intracellular,C
27772,1,5887,integral component of plasma membrane,C
27771,1,16021,integral component of membrane,C
27770,1,70195,growth hormone receptor complex,C
27769,1,5615,extracellular space,C
27768,1,5615,extracellular space,C
27767,1,5576,extracellular region,C
27766,1,9986,cell surface,C
27765,1,6573,valine metabolic process,P
27764,1,19530,taurine metabolic process,P
27763,1,6105,succinate metabolic process,P
27762,1,40014,regulation of multicellular organism growth,P
27761,1,42523,positive regulation of tyrosine phosphorylation of Stat5 protein,P
27760,1,42517,positive regulation of tyrosine phosphorylation of Stat3 protein,P
27759,1,50731,positive regulation of peptidyl-tyrosine phosphorylation,P
27758,1,40018,positive regulation of multicellular organism growth,P
27757,1,6107,oxaloacetate metabolic process,P
27756,1,44236,multicellular organism metabolic process,P
27755,1,6549,isoleucine metabolic process,P
27754,1,48009,insulin-like growth factor receptor signaling pathway,P
27753,1,60396,growth hormone receptor signaling pathway,P
27752,1,6631,fatty acid metabolic process,P
27751,1,6897,endocytosis,P
27750,1,19221,cytokine-mediated signaling pathway,P
27749,1,46449,creatinine metabolic process,P
27748,1,6600,creatine metabolic process,P
27747,1,6101,citrate metabolic process,P
27746,1,32870,cellular response to hormone stimulus,P
27745,1,255,allantoin metabolic process,P
27744,1,187,activation of MAPK activity,P
27743,1,42977,activation of JAK2 kinase activity,P
27742,1,60397,JAK-STAT cascade involved in growth hormone signaling pathway,P
27741,1,7259,JAK-STAT cascade,P
27740,1,6103,2-oxoglutarate metabolic process,P
27739,1,19901,protein kinase binding,F
27738,1,42803,protein homodimerization activity,F
27737,1,5515,protein binding,F
27736,1,70064,proline-rich region binding,F
27735,1,17046,peptide hormone binding,F
27734,1,4896,cytokine receptor activity,F
27724,2,60124,positive regulation of growth hormone secretion,P
27723,2,60124,positive regulation of growth hormone secretion,P
27722,2,46005,"positive regulation of circadian sleep/wake cycle, REM sleep",P
27721,2,46005,"positive regulation of circadian sleep/wake cycle, REM sleep",P
27720,2,8284,positive regulation of cell proliferation,P
27719,2,30819,positive regulation of cAMP biosynthetic process,P
27718,2,30252,growth hormone secretion,P
27717,2,7267,cell-cell signaling,P
27716,2,19933,cAMP-mediated signaling,P
27715,2,7189,adenylate cyclase-activating G-protein coupled receptor signaling pathway,P
27714,2,7189,adenylate cyclase-activating G-protein coupled receptor signaling pathway,P
27713,2,7189,adenylate cyclase-activating G-protein coupled receptor signaling pathway,P
27712,2,21984,adenohypophysis development,P
27711,2,31770,growth hormone-releasing hormone receptor binding,F
27710,2,16608,growth hormone-releasing hormone activity,F
27699,3,43547,positive regulation of GTPase activity,P
27698,3,45740,positive regulation of DNA replication,P
27697,3,50900,leukocyte migration,P
27696,3,8286,insulin receptor signaling pathway,P
27695,3,8286,insulin receptor signaling pathway,P
27694,3,8286,insulin receptor signaling pathway,P
27693,3,7507,heart development,P
27692,3,7173,epidermal growth factor receptor signaling pathway,P
27691,3,71363,cellular response to growth factor stimulus,P
27690,3,1525,angiogenesis,P
27689,3,187,activation of MAPK activity,P
