"id","species","group","identifier","symbol","entrez_id","percentage","score","unique_grouping"
1,"Caenorhabditis elegans",206,"206","wwp-1",171647,"100%",1,"206-taurus:elegans"
2,"Bos taurus",1349,"1349","PHB_BOVIN",530409,"100%",1,"1349-taurus:elegans"
3,"Caenorhabditis elegans",1349,"1349","phb-1",171768,"100%",1,"1349-taurus:elegans"
4,"Bos taurus",42,"42","MTOR",100139219,"100%",1,"42-taurus:elegans"
5,"Caenorhabditis elegans",42,"42","let-363",172167,"100%",1,"42-taurus:elegans"
6,"Bos taurus",3155,"3155","HSF1_BOVIN",506235,"100%",1,"3155-taurus:elegans"
7,"Bos taurus",3155,"3155","HSF2",510557,NULL,0.124,"3155-taurus:elegans"
8,"Bos taurus",3155,"3155","F1MVT6_BOV",614788,NULL,0.094,"3155-taurus:elegans"
9,"Caenorhabditis elegans",3155,"3155","hsf-1",173078,"100%",1,"3155-taurus:elegans"
10,"Bos taurus",1346,"1346","PHB2_BOVIN",515363,"100%",1,"1346-taurus:elegans"
11,"Caenorhabditis elegans",1346,"1346","phb-2",174034,"100%",1,"1346-taurus:elegans"
12,"Bos taurus",409,"409","ERN1",524719,"100%",1,"409-taurus:elegans"
13,"Bos taurus",409,"409","ERN2",508486,NULL,0.152,"409-taurus:elegans"
14,"Caenorhabditis elegans",409,"409","ire-1",174305,"100%",1,"409-taurus:elegans"
15,"Bos taurus",1234,"1234","KCNA2",539608,"100%",1,"1234-taurus:elegans"
16,"Bos taurus",1234,"1234","KCNA1",538703,NULL,0.594,"1234-taurus:elegans"
17,"Bos taurus",1234,"1234","KCNA4",281880,NULL,0.43,"1234-taurus:elegans"
18,"Bos taurus",1234,"1234","KCNA5",508960,NULL,0.39,"1234-taurus:elegans"
19,"Bos taurus",1234,"1234","KCNA10",538721,NULL,0.316,"1234-taurus:elegans"
20,"Bos taurus",1234,"1234","KCNA7",540492,NULL,0.285,"1234-taurus:elegans"
21,"Caenorhabditis elegans",1234,"1234","shk-1",174536,"100%",1,"1234-taurus:elegans"
22,"Bos taurus",1229,"1229","PK3CA_BOVI",282306,"99%",1,"1229-taurus:elegans"
23,"Bos taurus",1229,"1229","PIK3CD",504531,NULL,0.194,"1229-taurus:elegans"
24,"Bos taurus",1229,"1229","PIK3CB",517948,NULL,0.187,"1229-taurus:elegans"
25,"Caenorhabditis elegans",1229,"1229","age-1",174762,"98%",1,"1229-taurus:elegans"
26,"Bos taurus",2594,"2594","A6QLH2_BOV",506207,"84%",1,"2594-taurus:elegans"
27,"Bos taurus",2594,"2594","CCKBR",281665,NULL,0.238,"2594-taurus:elegans"
28,"Caenorhabditis elegans",2594,"2594","ckr-2",175341,"96%",1,"2594-taurus:elegans"
29,"Caenorhabditis elegans",2594,"2594","ckr-1",188774,NULL,0.066,"2594-taurus:elegans"
30,"Bos taurus",670,"670","INSRR",787068,"99%",1,"670-taurus:elegans"
31,"Bos taurus",670,"670","IGF1R_BOVI",281848,NULL,0.337,"670-taurus:elegans"
32,"Bos taurus",670,"670","Q8MII7_BOV",408017,NULL,0.296,"670-taurus:elegans"
33,"Caenorhabditis elegans",670,"670","daf-2",175410,"99%",1,"670-taurus:elegans"
34,"Bos taurus",2650,"2650","COQ7_BOVIN",504771,"100%",1,"2650-taurus:elegans"
35,"Caenorhabditis elegans",2650,"2650","clk-1",175729,"100%",1,"2650-taurus:elegans"
36,"Bos taurus",3649,"3649","A5PKJ6_BOV",618232,"100%",1,"3649-taurus:elegans"
37,"Caenorhabditis elegans",3649,"3649","mdt-15",175817,"100%",1,"3649-taurus:elegans"
38,"Bos taurus",2557,"2557","F1MC72_BOV",767894,"99%",1,"2557-taurus:elegans"
39,"Caenorhabditis elegans",2557,"2557","ubc-18",175985,"100%",1,"2557-taurus:elegans"
40,"Bos taurus",3187,"3187","RHEB",100335253,"99%",1,"3187-taurus:elegans"
41,"Bos taurus",3187,"3187","RHEBL1",353300,NULL,0.213,"3187-taurus:elegans"
42,"Caenorhabditis elegans",3187,"3187","rheb-1",176327,"97%",1,"3187-taurus:elegans"
43,"Bos taurus",86,"86","EP300",784935,"100%",1,"86-taurus:elegans"
44,"Bos taurus",86,"86","CREBBP",505453,NULL,0.172,"86-taurus:elegans"
45,"Caenorhabditis elegans",86,"86","cbp-1",176380,"100%",1,"86-taurus:elegans"
46,"Bos taurus",3856,"3856","F1MKR6_BOV",497024,"100%",1,"3856-taurus:elegans"
47,"Bos taurus",3856,"3856","NF2L1_BOVI",534582,"100%",1,"3856-taurus:elegans"
48,"Bos taurus",3856,"3856","A4IFL8_BOV",510807,NULL,0.153,"3856-taurus:elegans"
49,"Caenorhabditis elegans",3856,"3856","sknr-1",189139,"100%",1,"3856-taurus:elegans"
50,"Caenorhabditis elegans",3856,"3856","skn-1",177343,"100%",1,"3856-taurus:elegans"
51,"Bos taurus",3240,"3240","BECN1_BOVI",527278,"100%",1,"3240-taurus:elegans"
52,"Caenorhabditis elegans",3240,"3240","bec-1",177345,"100%",1,"3240-taurus:elegans"
53,"Bos taurus",1416,"1416","FAAH",540007,"100%",1,"1416-taurus:elegans"
54,"Caenorhabditis elegans",1416,"1416","faah-1",177613,"98%",1,"1416-taurus:elegans"
55,"Caenorhabditis elegans",1416,"1416","faah-3",176916,"89%",1,"1416-taurus:elegans"
56,"Caenorhabditis elegans",1416,"1416","faah-2",177612,NULL,0.385,"1416-taurus:elegans"
57,"Bos taurus",4251,"4251","CRYAA_BOVI",281718,"87%",1,"4251-taurus:elegans"
58,"Caenorhabditis elegans",4251,"4251","hsp-12.2",176148,"53%",1,"4251-taurus:elegans"
59,"Caenorhabditis elegans",4251,"4251","hsp-12.1",188710,NULL,0.464,"4251-taurus:elegans"
60,"Caenorhabditis elegans",4251,"4251","hsp-12.6",177778,NULL,0.245,"4251-taurus:elegans"
61,"Caenorhabditis elegans",4251,"4251","hsp-12.3",177777,NULL,0.179,"4251-taurus:elegans"
62,"Bos taurus",2461,"2461","C6K7D3_BOV",504463,"100%",1,"2461-taurus:elegans"
