id_homol,hagrid,organism,gene_id,gene_symbol,gene_name
7317,52,9615,484943,EPOR,erythropoietin receptor
7318,52,9913,281144,EPOR,erythropoietin receptor
7319,52,10090,13857,Epor,erythropoietin receptor
7320,52,10116,24336,Epor,erythropoietin receptor
6718,104,6239,176584,Y66D12A.15,Y66D12A.15
6719,104,4932,854663,SSL2,SSL2
6720,104,28985,2894113,KLLA0E13025g,KLLA0E13025g
6716,104,7227,39202,hay,haywire
6717,104,7165,1280516,AgaP_AGAP012169,AgaP_AGAP012169
6715,104,7955,324323,ercc3,"excision repair cross-complementing rodent repair deficiency, complementation group 3"
6714,104,9031,424226,ERCC3,"excision repair cross-complementing rodent repair deficiency, complementation group 3"
6713,104,10116,291703,Ercc3,"excision repair cross-complementing rodent repair deficiency, complementation group 3"
6712,104,10090,13872,Ercc3,"excision repair cross-complementing rodent repair deficiency, complementation group 3"
6711,104,9913,507984,ERCC3,"excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)"
6710,104,9615,476105,ERCC3,"excision repair cross-complementing rodent repair deficiency, complementation group 3"
6709,104,9544,698829,ERCC3,"excision repair cross-complementing rodent repair deficiency, complementation group 3"
6707,104,9606,2071,ERCC3,excision repair cross-complementation group 3
6708,104,9598,470526,ERCC3,"excision repair cross-complementing rodent repair deficiency, complementation group 3"
5026,249,7227,39385,RhoGAP68F,RhoGAP68F
5025,249,7955,550478,arhgap1,Rho GTPase activating protein 1
5024,249,9031,428865,ARHGAP1,Rho GTPase activating protein 1
5023,249,10116,311193,Arhgap1,Rho GTPase activating protein 1
5022,249,10090,228359,Arhgap1,Rho GTPase activating protein 1
5021,249,9913,512817,ARHGAP1,Rho GTPase activating protein 1
5020,249,9615,483631,ARHGAP1,Rho GTPase activating protein 1
5019,249,9544,712798,ARHGAP1,Rho GTPase activating protein 1
5018,249,9598,451156,ARHGAP1,Rho GTPase activating protein 1
5017,249,9606,392,ARHGAP1,Rho GTPase activating protein 1
5183,238,7227,248194,Gclm,Glutamate-cysteine ligase modifier subunit
5184,238,7165,1280630,AgaP_AGAP012038,AgaP_AGAP012038
5173,239,4530,4335342,Os04g0271000,Os04g0271000
5174,239,8364,394980,sirt6,sirtuin 6
5171,239,7165,1281717,AgaP_AGAP001458,AgaP_AGAP001458
5172,239,3702,835670,SRT1,SRT1
5170,239,7227,41254,Sirt6,Sirt6
5168,239,9031,428332,SIRT6,sirtuin 6
5169,239,7955,415161,sirt6,sirtuin (silent mating type information regulation 2 homolog) 6 (S. cerevisiae)
5166,239,10090,50721,Sirt6,sirtuin 6
5167,239,10116,299638,Sirt6,sirtuin 6
5165,239,9913,535416,SIRT6,sirtuin 6
5164,239,9615,485045,SIRT6,sirtuin 6
5163,239,9544,714545,SIRT6,sirtuin 6
5162,239,9598,737026,SIRT6,sirtuin 6
5161,239,9606,51548,SIRT6,sirtuin 6
6224,145,7955,403070,rgn,regucalcin
6225,145,7227,41786,smp-30,Senescence marker protein-30
6223,145,9031,395480,RGN,regucalcin
6222,145,10116,25106,Rgn,regucalcin (senescence marker protein-30)
6221,145,10090,19733,Rgn,regucalcin
6220,145,9913,280910,RGN,regucalcin (senescence marker protein-30)
6219,145,9615,480893,RGN,regucalcin
6218,145,9544,705733,RGN,regucalcin (senescence marker protein-30)
6217,145,9598,465598,RGN,regucalcin (senescence marker protein-30)
6216,145,9606,9104,RGN,regucalcin
6341,132,7955,559504,coq7,"coenzyme Q7 homolog, ubiquinone (yeast)"
6340,132,9031,416609,COQ7,"coenzyme Q7 homolog, ubiquinone (yeast)"
