"id","species","group","identifier","symbol","entrez_id","percentage","score","unique_grouping"
1,"Drosophila melanogaster",488,"FBpp0070208","SNF1A",43904,"100%",1,"488-elegans:melanogaster"
2,"Caenorhabditis elegans",102,"CE25005","aco-2",176121,"100%",1,"102-elegans:melanogaster"
3,"Drosophila melanogaster",102,"FBpp0081002","Acon",44149,"100%",1,"102-elegans:melanogaster"
4,"Drosophila melanogaster",102,"FBpp0081812","CG4706",41326,NULL,0.22,"102-elegans:melanogaster"
5,"Caenorhabditis elegans",1349,"CE43431","age-1",174762,"100%",1,"1349-elegans:melanogaster"
6,"Drosophila melanogaster",1349,"FBpp0083348","Pi3K92E",42446,"100%",1,"1349-elegans:melanogaster"
7,"Caenorhabditis elegans",599,"CE05274","akt-1",179424,"100%",1,"599-elegans:melanogaster"
8,"Caenorhabditis elegans",599,"CE18646","akt-2",181524,NULL,0.254,"599-elegans:melanogaster"
9,"Drosophila melanogaster",599,"FBpp0082682","Akt1",41957,"100%",1,"599-elegans:melanogaster"
10,"Caenorhabditis elegans",71,"CE43299","alg-1",181504,"100%",1,"71-elegans:melanogaster"
11,"Caenorhabditis elegans",71,"CE32063","alg-2",173468,NULL,0.374,"71-elegans:melanogaster"
12,"Drosophila melanogaster",71,"FBpp0086738","AGO1",36544,"100%",1,"71-elegans:melanogaster"
13,"Caenorhabditis elegans",1311,"CE32912","amt-3",174338,"99%",1,"1311-elegans:melanogaster"
14,"Caenorhabditis elegans",1311,"CE40457","amt-2",186047,NULL,0.106,"1311-elegans:melanogaster"
15,"Drosophila melanogaster",1311,"FBpp0112150","CG6499",41841,"100%",1,"1311-elegans:melanogaster"
16,"Caenorhabditis elegans",1438,"CE14950","arl-8",178405,"100%",1,"1438-elegans:melanogaster"
17,"Drosophila melanogaster",1438,"FBpp0081290","Gie",40961,"100%",1,"1438-elegans:melanogaster"
18,"Caenorhabditis elegans",1024,"CE30060","arx-4",175247,"100%",1,"1024-elegans:melanogaster"
19,"Drosophila melanogaster",1024,"FBpp0080890","Arc-p34",35311,"100%",1,"1024-elegans:melanogaster"
20,"Caenorhabditis elegans",3797,"CE07016","asb-2",180718,"100%",1,"3797-elegans:melanogaster"
21,"Caenorhabditis elegans",3797,"CE00968","asb-1",175605,NULL,0.672,"3797-elegans:melanogaster"
22,"Drosophila melanogaster",3797,"FBpp0076134","ATPsyn-b",39143,"100%",1,"3797-elegans:melanogaster"
23,"Caenorhabditis elegans",3984,"CE06974","asg-2",180956,"100%",1,"3984-elegans:melanogaster"
24,"Caenorhabditis elegans",3984,"CE11868","asg-1",172673,NULL,0.656,"3984-elegans:melanogaster"
25,"Drosophila melanogaster",3984,"FBpp0079756","l(2)06225",46069,"100%",1,"3984-elegans:melanogaster"
26,"Drosophila melanogaster",3984,"FBpp0079104","CG7211",34054,NULL,0.236,"3984-elegans:melanogaster"
27,"Caenorhabditis elegans",3984,"CE06974","asg-2",180956,"100%",1,"3984-elegans:melanogaster"
